	PD_whole_tree	chao1	observed_otus
230	71.66189	1721.40441176	911.0
247	76.04137	2042.48175182	992.0
207	60.50327	1371.50769231	791.0
342	67.43481	1353.41176471	729.0
333	78.18077	2248.10273973	1058.0
265	77.19721	2016.71264368	1088.0
364	69.13652	1728.76470588	830.0
355	64.06058	1352.17391304	794.0
220	60.68553	1539.97014925	842.0
341	66.03953	1593.72222222	779.0
272	55.62496	1208.08536585	624.0
226	78.71626	2184.61290323	1024.0
358	71.14495	1590.6875	886.0
346	71.57054	1704.08064516	849.0
257	55.44214	1700.00909091	826.0
233	59.65372	1501.14482759	868.0
392	60.12868	1108.43835616	581.0
347	71.17467	1909.75657895	984.0
264	53.52228	1440.86666667	711.0
221	58.98964	1428.50746269	830.0
383	70.30048	1591.95762712	792.0
223	61.23886	1326.59292035	729.0
283	65.90122	1422.57894737	764.0
213	43.76325	768.0	493.0
255	64.05415	1580.64	822.0
251	67.22577	1671.2	839.0
325	78.52499	2009.83443709	1010.0
423	77.22618	2080.0	1065.0
245	80.87783	1625.53216374	981.0
211	71.06289	1997.51282051	927.0
246	74.42118	1836.12711864	870.0
189	82.39224	2376.57692308	1040.0
343	75.44009	1708.60693642	973.0
135	85.77979	2007.16949153	1107.0
205	62.71897	1893.08264463	907.0
212	59.51463	1199.12264151	687.0
147	73.44297	1783.0	928.0
378	69.46883	1712.16374269	965.0
266	78.13286	1973.15286624	1022.0
248	63.25511	1527.52054795	863.0
384	67.44111	1497.81538462	808.0
222	70.97403	1706.84810127	964.0
254	65.91547	1662.96153846	1002.0
258	58.41845	1530.08510638	842.0
348	66.48813	1608.91791045	855.0
369	77.26867	1756.59036145	993.0
353	86.70394	2208.35602094	1171.0
218	68.19495	1497.04316547	861.0
362	76.64693	1844.85106383	953.0
396	57.29488	1293.109375	754.0
279	69.00466	1630.91428571	974.0
324	70.96071	1561.03937008	828.0
203	69.38969	1698.73529412	994.0
382	73.32351	1876.95238095	930.0
338	75.291	1923.80769231	941.0
276	66.97607	1550.32374101	896.0
267	66.27828	1620.35507246	862.0
198	72.54116	1896.52173913	978.0
344	69.74284	1940.53191489	965.0
354	61.40614	1584.30201342	885.0
394	46.98557	1038.96153846	531.0
229	59.91441	1530.648	820.0
215	61.42438	1562.52459016	824.0
274	53.91443	1400.4137931	670.0
225	76.58448	1787.00591716	1022.0
139	71.29058	1673.77083333	892.0
329	69.13405	1621.73282443	871.0
349	66.32356	1464.0625	710.0
200	68.31891	1719.54477612	911.0
239	56.89341	1194.12149533	665.0
275	63.56672	1246.0390625	744.0
381	63.22806	1567.62043796	853.0
199	61.99429	1667.18181818	869.0
235	59.18754	1339.27966102	745.0
376	74.22691	1652.09615385	802.0
240	59.14269	1360.02362205	781.0
162	81.60235	1961.6809816	998.0
234	38.81206	998.773584906	444.0
357	72.49892	1659.05263158	967.0
379	66.98304	1700.0	915.0
350	68.10859	1585.95876289	730.0
438	59.3944	1273.20689655	634.0
