	PD_whole_tree	chao1	observed_otus
230	35.89047	573.714285714	284.0
247	37.08074	752.219512195	305.0
207	25.1155	498.085714286	228.0
342	27.71193	479.0	189.0
333	32.67856	550.775510204	278.0
265	37.16756	796.382978723	325.0
364	28.42934	564.037037037	219.0
355	30.7206	589.717948718	247.0
220	27.90621	510.0	240.0
341	30.58878	562.433333333	224.0
272	24.86338	359.777777778	184.0
226	38.20807	709.5	310.0
358	33.6066	584.972972973	254.0
346	33.51626	617.090909091	246.0
257	25.69264	565.025641026	259.0
233	25.06627	509.625	245.0
392	32.50222	482.884615385	199.0
347	32.83434	592.882352941	284.0
264	23.5177	510.777777778	205.0
221	27.73342	509.085714286	239.0
383	30.35554	540.857142857	213.0
223	31.16992	490.088235294	228.0
283	30.54953	640.0	237.0
213	29.88669	336.526315789	214.0
255	30.07027	459.037735849	251.0
251	31.48716	852.444444444	269.0
325	38.29575	921.416666667	306.0
423	33.20561	721.717948718	271.0
245	42.61302	719.0	317.0
211	33.38365	669.825	276.0
246	35.34963	576.567567568	254.0
189	38.5466	583.0	265.0
343	34.04328	677.552631579	263.0
135	41.99709	746.056603774	332.0
205	28.35719	478.441176471	228.0
212	27.69795	445.75	195.0
147	36.19214	925.615384615	271.0
378	26.63533	566.7	233.0
266	36.66516	692.25	285.0
248	29.24924	487.923076923	242.0
384	31.26234	563.972972973	233.0
222	34.97177	673.0	299.0
254	32.49705	755.323529412	292.0
258	25.2058	518.636363636	228.0
348	29.45327	647.75	227.0
369	35.78038	605.384615385	271.0
353	39.38918	886.243243243	310.0
218	30.57768	690.090909091	265.0
362	33.01397	606.459459459	254.0
396	24.9716	472.459459459	228.0
279	32.73644	631.023809524	289.0
324	34.75923	626.117647059	252.0
203	33.74814	697.534883721	306.0
382	30.75306	502.731707317	241.0
338	35.24804	645.675675676	262.0
276	34.01019	836.65625	299.0
267	32.76398	615.7	265.0
198	34.96752	553.355932203	307.0
344	32.31934	800.0	273.0
354	25.40973	462.923076923	231.0
394	22.86679	437.285714286	157.0
229	25.66298	612.344827586	227.0
215	27.72432	506.972972973	244.0
274	21.77083	440.333333333	189.0
225	37.82908	759.25	316.0
139	32.99899	591.384615385	257.0
329	30.82234	651.285714286	236.0
349	31.42538	413.0	203.0
200	30.83755	595.0	277.0
239	26.15558	493.037037037	192.0
275	31.45802	402.234042553	232.0
381	30.16505	624.032258065	244.0
199	28.27794	555.027777778	261.0
235	27.96324	518.689655172	216.0
376	34.3384	640.833333333	243.0
240	29.13897	619.96875	247.0
162	32.57314	711.896551724	251.0
234	17.12336	341.055555556	138.0
357	31.224	742.763157895	290.0
379	29.06034	530.0	240.0
350	28.68453	536.476190476	185.0
438	27.95448	431.0	189.0
244	18.32644	289.047619048	127.0
326	31.7236	612.117647059	238.0
270	22.48546	649.260869565	214.0
101	28.32695	369.033333333	180.0
227	28.39249	681.230769231	234.0
377	25.47767	584.0	242.0
436	26.50819	403.111111111	177.0
217	29.15804	560.489795918	281.0
196	29.16196	667.902439024	288.0
252	23.17526	408.348837209	231.0
284	27.71618	478.09375	212.0
356	27.95027	458.9	226.0
206	20.24883	375.142857143	158.0
197	21.30089	361.5	201.0
337	27.65437	466.5	232.0
256	33.06334	588.130434783	294.0
330	24.2283	540.615384615	203.0
372	20.64639	299.533333333	160.0
214	31.18477	597.736842105	263.0
336	25.37744	380.965517241	178.0
366	36.38577	626.217391304	276.0
172	30.20145	539.617647059	224.0
138	25.21618	551.571428571	169.0
250	27.97462	632.833333333	235.0
163	33.30615	575.736842105	241.0
375	23.89429	513.555555556	203.0
370	23.62275	423.034482759	185.0
374	20.00148	382.129032258	178.0
340	24.5612	572.555555556	207.0
216	30.83725	598.255319149	289.0
154	30.52821	606.117647059	232.0
219	29.66337	539.219512195	263.0
334	21.99382	425.076923077	186.0
367	25.08521	545.0	188.0
100	22.04416	542.555555556	172.0
180	36.99004	705.7	271.0
136	32.22595	567.405405405	249.0
253	29.3471	719.848484848	269.0
371	30.55809	483.25	240.0
152	29.98866	351.0	192.0
156	32.06608	593.184210526	250.0
121	31.75111	626.454545455	203.0
335	22.44609	454.058823529	157.0
127	36.97911	642.488372093	272.0
145	39.53502	562.27027027	248.0
107	29.93967	514.028571429	228.0
111	28.71802	516.5	189.0
361	19.92737	293.681818182	139.0
331	15.52778	411.428571429	138.0
236	15.39959	242.0	112.0
191	20.96014	363.416666667	153.0
435	17.34865	366.5	144.0
153	32.00367	618.6	246.0
155	24.72458	430.791666667	181.0
282	28.13154	512.46875	234.0
365	24.38728	373.387096774	180.0
148	31.78233	557.12	206.0
157	29.54562	439.0	214.0
123	34.7701	646.181818182	251.0
151	25.6066	413.75	173.0
117	29.65094	615.096774194	240.0
99	31.82709	745.037037037	250.0
161	29.80546	451.823529412	209.0
150	33.91652	625.636363636	245.0
332	22.4797	400.875	169.0
132	27.13018	520.125	192.0
177	18.27555	349.0	139.0
389	20.06552	352.4	131.0
149	26.09324	391.933333333	181.0
597	32.1764	869.823529412	302.0
861	22.37053	723.404255319	300.0
864	20.52158	637.23255814	275.0
599	27.26541	748.344827586	253.0
811	31.54898	869.441176471	290.0
771	27.38319	464.088235294	202.0
875	22.01565	415.625	206.0
783	27.97055	541.058823529	234.0
859	34.21441	667.783783784	261.0
858	30.0547	494.47826087	245.0
876	29.17121	529.0	217.0
848	36.53809	740.88372093	301.0
852	25.79921	553.791666667	199.0
773	33.51995	763.84375	266.0
839	30.33156	609.365853659	259.0
822	31.28943	589.340909091	259.0
832	28.19687	608.848484848	233.0
