	PD_whole_tree	chao1	observed_otus
230	72.23506	1746.13868613	914.0
247	76.02231	1958.5323741	984.0
207	61.33619	1410.54411765	809.0
342	67.48552	1285.54761905	729.0
333	79.56947	2385.55405405	1089.0
265	78.90495	2073.27272727	1087.0
364	67.79375	1720.31034483	826.0
355	63.48357	1479.0	794.0
220	59.14156	1464.15328467	828.0
341	66.48854	1683.4245283	797.0
272	54.25588	1097.31914894	617.0
226	79.21602	2050.49295775	1037.0
358	70.77093	1548.06802721	873.0
346	72.80041	1718.0546875	857.0
257	54.70945	1665.77777778	829.0
233	59.0041	1368.56953642	848.0
392	59.77426	1138.49315068	588.0
347	71.45546	1825.49704142	996.0
264	53.44515	1339.77586207	719.0
221	58.15485	1402.33333333	823.0
383	70.94216	1512.73684211	803.0
223	63.69499	1346.8411215	726.0
283	64.99444	1312.024	757.0
213	43.27936	806.06	491.0
255	62.84533	1494.44360902	817.0
251	67.00452	1606.1	853.0
325	79.56278	2070.51315789	1026.0
423	76.21388	2050.12426036	1060.0
245	81.06464	1800.80666667	989.0
211	72.11031	1928.0	930.0
246	72.18316	1731.28099174	855.0
189	82.44447	2131.04255319	1017.0
343	74.80459	1855.77483444	969.0
135	85.00056	1882.64171123	1087.0
205	63.86789	1793.71034483	923.0
212	60.59694	1237.45454545	698.0
147	73.47141	1937.078125	931.0
378	68.84829	1655.02890173	954.0
266	78.51371	2042.30612245	1019.0
248	63.25528	1482.90566038	881.0
384	66.19813	1462.20143885	814.0
222	70.80434	1776.14084507	953.0
254	66.66012	1913.6	1016.0
258	58.86802	1517.04444444	837.0
348	65.79787	1746.47008547	852.0
369	76.46426	1773.18012422	989.0
353	85.39172	2175.21546961	1149.0
218	68.00087	1497.0212766	870.0
362	76.44607	1857.80714286	956.0
396	56.02602	1373.97435897	752.0
279	69.06784	1649.89156627	966.0
324	69.11532	1610.87826087	820.0
203	69.45229	1665.83707865	1001.0
382	73.57617	1888.70422535	953.0
338	77.18877	1920.05755396	953.0
276	65.88826	1540.50704225	897.0
267	67.14279	1556.30612245	866.0
198	71.94707	1878.76086957	982.0
344	69.13471	1744.67948718	945.0
354	62.56778	1601.18300654	890.0
394	46.05219	891.569767442	515.0
229	59.66744	1470.93129771	812.0
215	61.95301	1632.38461538	833.0
274	53.72669	1294.90526316	663.0
225	74.49657	1732.51829268	1002.0
139	71.95041	1776.91911765	896.0
329	69.94194	1610.265625	866.0
349	66.1643	1429.94174757	716.0
200	67.28668	1571.59285714	888.0
239	57.02735	1181.03883495	654.0
275	63.8471	1267.17355372	742.0
381	64.52058	1570.6875	866.0
199	60.87739	1622.4140625	861.0
235	60.69236	1676.53012048	739.0
376	75.1956	1760.17924528	824.0
240	59.30233	1395.97435897	774.0
162	80.57648	1794.12426036	974.0
234	38.74266	836.090909091	444.0
357	72.64633	1834.625	988.0
379	67.78386	1748.57142857	924.0
350	67.74193	1602.23333333	720.0
438	58.59754	1237.94382022	628.0
244	40.29121	774.75	405.0
326	74.71709	1900.3515625	914.0
270	52.84789	1241.96992481	737.0
101	62.64168	1311.13157895	696.0
227	65.11941	1452.27067669	828.0
377	57.33844	1534.67407407	829.0
436	57.42785	1131.26	608.0
217	66.59238	1784.50359712	954.0
196	62.33117	1524.44295302	888.0
252	58.93787	1441.69465649	811.0
284	58.41226	1393.85714286	726.0
356	63.72914	1777.57936508	869.0
206	50.44535	1204.79518072	586.0
197	44.7027	1189.02608696	679.0
337	59.21674	1370.3902439	760.0
256	70.55947	1637.0942029	918.0
330	60.97833	1365.69724771	712.0
372	47.44406	1191.45	585.0
214	66.11297	1854.21428571	915.0
336	58.72475	1574.0	677.0
366	78.78744	1821.05035971	945.0
172	69.99222	1634.85915493	862.0
138	57.11191	1076.2967033	590.0
250	61.89688	1607.1	854.0
163	74.46206	1778.87412587	903.0
375	57.77885	1432.90163934	749.0
