	PD_whole_tree	chao1	observed_otus
230	61.5908	1309.89320388	672.0
247	60.88221	1487.17924528	723.0
207	45.81694	1171.28767123	561.0
342	55.33651	909.919191919	521.0
333	65.0212	1852.02830189	790.0
265	62.55852	1510.61290323	784.0
364	55.06252	1424.25	612.0
355	51.53913	1124.57142857	588.0
220	50.08253	1249.54545455	610.0
341	53.87646	1272.0	570.0
272	45.23809	830.092105263	459.0
226	66.81588	1438.43650794	773.0
358	57.75887	1333.30769231	635.0
346	61.01554	1355.01111111	629.0
257	42.89729	1313.2962963	606.0
233	49.62906	1258.25	644.0
392	51.91345	774.642857143	446.0
347	58.38862	1741.04597701	720.0
264	43.9482	1091.01369863	513.0
221	50.70294	1271.75862069	621.0
383	54.97366	1065.11111111	550.0
223	50.92803	1087.49315068	537.0
283	54.07016	1083.03488372	565.0
213	40.11118	649.571428571	401.0
255	50.75306	1132.61627907	590.0
251	53.15474	1135.35051546	619.0
325	65.48218	1530.40366972	727.0
423	63.50781	1500.11627907	765.0
245	68.65759	1405.34259259	728.0
211	57.83972	1614.36363636	703.0
246	59.85464	1368.13924051	617.0
189	67.28635	1467.06542056	725.0
343	62.04722	1600.875	714.0
135	69.52204	1472.84496124	794.0
205	51.00393	1292.67889908	663.0
212	50.53439	899.518987342	496.0
147	58.55969	1557.24096386	662.0
378	57.39785	1544.77419355	691.0
266	62.21254	1565.90526316	709.0
248	52.30802	1394.50561798	644.0
384	54.64719	1330.0	583.0
222	58.64329	1500.29473684	710.0
254	55.91199	1511.02521008	761.0
258	48.46693	1335.01123596	617.0
348	53.72104	1250.94680851	616.0
369	62.95351	1480.53271028	731.0
353	71.55169	1719.0	846.0
218	55.81229	1183.61111111	650.0
362	62.05341	1420.42857143	698.0
396	45.87871	1089.43589744	541.0
279	56.69523	1395.80357143	722.0
324	58.06918	1199.88764045	601.0
203	57.74764	1505.25	744.0
382	59.72972	1412.67647059	669.0
338	64.56849	1419.91919192	681.0
276	55.70376	1244.91	672.0
267	53.17151	1271.2826087	615.0
198	61.31287	1598.8021978	735.0
344	56.73308	1301.2952381	679.0
354	49.91975	1185.81132075	626.0
394	38.3443	734.406779661	380.0
