	PD_whole_tree	chao1	observed_otus
230	61.04416	1467.0	693.0
247	62.27186	1433.67346939	695.0
207	48.45894	1099.9	578.0
342	55.61852	1079.37931034	543.0
333	62.99319	1689.72222222	775.0
265	62.2678	1564.01694915	786.0
364	55.32795	1311.22077922	589.0
355	52.02727	1124.96551724	578.0
220	48.272	1161.6039604	611.0
341	55.86823	1369.61333333	583.0
272	44.78224	827.915492958	457.0
226	64.52766	1433.05714286	740.0
358	58.26187	1223.46601942	644.0
346	57.73161	1305.07058824	611.0
257	43.79701	1110.09278351	597.0
233	46.68427	1111.5	627.0
392	51.42168	771.615384615	434.0
347	56.95332	1471.64705882	701.0
264	41.78058	980.714285714	481.0
221	49.03874	1151.5	625.0
383	56.38372	1183.92857143	561.0
223	51.57887	911.535714286	526.0
283	53.44575	946.161290323	544.0
213	40.84542	712.081081081	406.0
255	52.26028	1301.43373494	603.0
251	52.54261	1241.84269663	617.0
325	64.42769	1515.52380952	717.0
423	61.54376	1707.12621359	748.0
245	67.94955	1267.81395349	730.0
211	58.45035	1487.59036145	674.0
246	57.59225	1200.23333333	608.0
189	66.5146	1644.84375	737.0
343	61.03435	1509.20192308	703.0
135	68.20499	1425.57246377	791.0
205	50.10534	1349.77669903	658.0
212	51.8219	940.119047619	511.0
147	59.94542	1342.26470588	673.0
378	56.48551	1448.59259259	706.0
266	64.97322	1464.02702703	727.0
248	53.23944	1217.82524272	635.0
384	54.9944	1286.01176471	600.0
222	57.6746	1387.62385321	720.0
254	53.95499	1255.04878049	712.0
258	45.88065	1172.46875	607.0
348	55.47233	1228.63157895	622.0
369	64.72974	1458.63551402	724.0
353	72.69978	1784.50757576	862.0
218	55.26392	1124.00917431	638.0
362	61.79689	1366.91089109	680.0
396	47.31483	1088.3875	550.0
279	55.04097	1345.05263158	700.0
324	58.1626	1342.49367089	613.0
203	57.67022	1454.90384615	733.0
382	60.39715	1600.48863636	680.0
338	62.77126	1399.94117647	679.0
276	55.27713	1279.35294118	684.0
267	54.74858	1187.87628866	618.0
198	61.26977	1660.81521739	745.0
344	56.80525	1443.0	689.0
354	48.29643	1197.51456311	638.0
394	37.7619	669.405797101	381.0
229	48.58793	1158.01010101	603.0
215	49.78979	1264.0	602.0
274	43.13145	957.0	474.0
225	64.63002	1404.06557377	763.0
139	60.47463	1454.1010101	680.0
329	56.8342	1310.81481481	616.0
349	52.67051	1093.04109589	519.0
200	57.12607	1276.92523364	673.0
239	44.77551	914.0	479.0
275	53.9221	1106.66666667	564.0
381	53.86149	1380.33333333	622.0
