	PD_whole_tree	chao1	observed_otus
230	71.36654	1713.78169014	921.0
247	74.21082	2003.41353383	981.0
207	59.84819	1369.66423358	793.0
342	67.28909	1232.66911765	728.0
333	78.17745	2190.38461538	1069.0
265	77.59681	2104.5033557	1069.0
364	68.25255	1802.38793103	836.0
355	64.15304	1326.34532374	789.0
220	60.63204	1526.6	837.0
341	66.37744	1470.44360902	793.0
272	55.18699	1172.21176471	616.0
226	78.77069	2260.97560976	1038.0
358	70.60745	1670.42857143	887.0
346	72.05426	1754.55737705	855.0
257	54.76128	1712.02678571	826.0
233	58.64305	1576.82575758	865.0
392	61.36192	1242.23880597	595.0
347	70.33264	1890.70253165	990.0
264	54.14593	1313.77777778	708.0
221	59.00625	1347.34868421	838.0
383	69.54788	1504.20325203	782.0
223	62.86755	1438.05769231	742.0
283	67.2412	1466.00877193	773.0
213	43.49466	718.652173913	498.0
255	63.30043	1670.49107143	816.0
251	65.38063	1565.22222222	840.0
325	79.33084	2053.93006993	1002.0
423	76.92942	2118.44444444	1064.0
245	81.80308	1766.47133758	994.0
211	71.91096	1936.08130081	934.0
246	72.0929	1675.97457627	835.0
189	83.33956	2296.54285714	1047.0
343	75.4825	1757.7962963	966.0
135	85.6064	1937.38953488	1085.0
205	61.53165	1668.20666667	905.0
212	61.11745	1153.92920354	688.0
147	72.04026	1791.32142857	918.0
378	69.5394	1867.52866242	978.0
266	80.37158	2040.41447368	1029.0
248	64.0368	1570.87671233	882.0
384	66.9202	1472.73684211	808.0
222	71.0789	1822.46153846	964.0
254	65.91592	1717.96428571	999.0
258	58.73908	1581.34090909	843.0
348	67.34858	1710.928	859.0
369	75.71765	1840.87919463	980.0
353	85.53365	2347.35882353	1167.0
218	68.6082	1537.02068966	892.0
362	75.24976	1994.28571429	952.0
396	56.68669	1342.75206612	757.0
279	69.30138	1668.42168675	973.0
324	69.77837	1531.79527559	819.0
203	69.65624	1637.74431818	990.0
382	73.8061	1892.40875912	945.0
338	76.58517	1968.17391304	960.0
276	66.56208	1401.26829268	895.0
267	66.36348	1649.02205882	866.0
198	71.69588	1749.47058824	976.0
344	69.6018	1788.24832215	951.0
354	60.09789	1516.22580645	876.0
394	47.15563	936.111111111	514.0
229	59.40676	1570.22608696	816.0
215	61.97796	1594.08196721	831.0
274	52.66947	1219.04123711	656.0
225	75.28648	1827.78980892	1014.0
139	71.41462	1761.40740741	892.0
329	69.93038	1675.75423729	861.0
349	67.21275	1558.45744681	718.0
200	68.74403	1765.25	916.0
239	55.64564	1081.53043478	646.0
275	63.23761	1324.26605505	738.0
381	63.96136	1585.82142857	861.0
199	61.61721	1592.97560976	857.0
235	61.39567	1616.16483516	748.0
376	75.29423	1678.02752294	816.0
240	59.71498	1415.848	787.0
162	80.32785	1802.375	959.0
234	38.51161	850.0	444.0
357	73.24113	1743.03592814	981.0
379	68.038	1863.49606299	924.0
350	68.05972	1587.15789474	726.0
438	58.17145	1181.03333333	621.0
244	40.63158	813.392857143	414.0
326	74.42694	1803.71111111	909.0
270	54.76374	1380.07086614	758.0
101	62.26184	1395.76	687.0
227	66.58375	1473.87671233	848.0
377	58.05715	1515.45669291	816.0
436	58.34176	1161.94117647	620.0
217	64.20301	1763.80291971	949.0
196	63.34094	1636.55479452	904.0
252	56.88315	1464.20661157	808.0
284	59.77364	1336.97560976	736.0
356	63.10585	1687.40441176	877.0
206	52.40053	1116.55555556	601.0
197	45.90043	1127.16239316	666.0
337	59.76753	1431.8907563	768.0
256	72.2755	1660.06521739	928.0
330	61.53073	1445.37391304	741.0
372	45.82034	1164.94285714	558.0
214	66.0687	1823.3984375	914.0
336	58.56788	1462.7173913	680.0
366	79.29057	1766.25503356	949.0
172	70.99242	1758.78195489	869.0
138	57.94284	1094.43617021	598.0
250	60.36815	1580.859375	840.0
163	72.14487	1619.69798658	880.0
375	59.13258	1513.83333333	763.0
370	56.21926	1528.53488372	669.0
374	45.58542	1032.75609756	553.0
340	54.98206	1283.00869565	699.0
216	64.8581	1649.12781955	903.0
154	68.30677	1614.68627451	882.0
219	65.6759	1824.62758621	933.0
334	50.70673	1391.00909091	712.0
367	50.74914	1246.57142857	617.0
100	55.93936	1513.61320755	738.0
180	78.60882	1785.29411765	940.0
136	70.26485	1438.3877551	854.0
253	65.73576	1622.43292683	936.0
371	68.27508	1830.05042017	864.0
152	67.47054	1516.84210526	745.0
156	72.49569	1710.72142857	893.0
121	67.76853	1479.82644628	763.0
335	53.20909	1212.875	596.0
127	74.58138	1696.17307692	950.0
145	81.08354	2047.024	955.0
107	72.04824	1476.984375	841.0
111	65.1374	1708.34782609	729.0
361	45.11782	1046.41891892	511.0
331	40.60028	1139.18181818	474.0
236	33.28046	797.0	391.0
191	49.55157	1276.33333333	570.0
435	39.34243	1081.37288136	484.0
153	76.84428	2338.00900901	943.0
155	49.93975	1257.90697674	619.0
282	65.23068	1745.56410256	855.0
365	58.64726	1538.5	670.0
148	67.34126	1600.70909091	770.0
157	67.98755	1591.27586207	785.0
123	72.95442	1677.60714286	887.0
151	59.50342	1385.23595506	647.0
117	63.02195	1419.0	801.0
99	69.64969	1460.56097561	802.0
161	75.01491	1708.89189189	906.0
150	73.34304	1784.69594595	918.0
332	50.34963	1110.75	629.0
132	55.04023	1224.48484848	656.0
177	45.0888	916.217821782	535.0
389	40.59798	1010.69354839	455.0
149	55.21251	1298.34567901	620.0
597	69.30861	1899.36666667	1017.0
861	52.13389	1804.98684211	1036.0
864	51.77158	1833.375	1029.0
599	60.35285	1738.66666667	928.0
811	73.33622	2289.97894737	1173.0
771	61.21177	1453.84070796	737.0
875	52.58156	1432.13157895	753.0
783	61.94223	1442.50735294	835.0
859	76.71568	1909.83125	1007.0
858	64.41569	1638.04615385	854.0
876	63.64051	1623.67883212	843.0
848	79.96131	2109.75141243	1108.0
852	57.45617	1407.08547009	742.0
773	78.41161	1966.32402235	1054.0
839	68.55942	1725.12698413	989.0
822	69.82322	1797.13461538	952.0
832	70.81247	1895.89928058	940.0
819	85.50845	2133.66981132	1205.0
816	87.47291	2234.75376884	1204.0
728	71.83679	2061.42105263	1028.0
841	61.48175	1919.90265487	851.0
775	57.61871	1388.08695652	708.0
756	67.06709	1580.02272727	855.0
843	79.9565	2012.84810127	1008.0
867	72.53208	1838.03351955	1022.0
851	82.33656	2236.69230769	1134.0
784	50.82342	1186.67647059	625.0
873	60.41713	1641.53691275	886.0
804	63.47326	1695.54929577	869.0
821	54.95145	1451.77272727	782.0
779	79.45219	2088.78658537	1072.0
836	68.49386	1914.82758621	926.0
754	68.2833	1739.66666667	908.0
826	71.09002	2033.33802817	974.0
716	69.33089	1465.55479452	880.0
751	73.52064	1760.9245283	951.0
818	85.38744	2110.63592233	1161.0
758	71.74741	1769.13475177	947.0
838	64.03725	1639.875	867.0
883	80.02093	1808.1969697	1065.0
778	58.53302	1483.2295082	762.0
834	78.5059	1980.27702703	986.0
849	69.10076	1526.20958084	883.0
815	80.52239	2121.65088757	1097.0
817	84.11129	1952.0	1094.0
794	80.61045	1923.44571429	1067.0
777	79.71505	2333.66037736	1119.0
820	85.83315	2452.18781726	1228.0
807	69.15723	1683.27464789	917.0
882	76.32586	1906.66666667	1034.0
786	89.97996	2220.27777778	1194.0
829	64.81362	1888.50344828	929.0
801	78.0276	2127.70833333	1184.0
814	89.57783	2592.62280702	1364.0
857	54.06874	1648.96858639	1037.0
798	74.99817	2026.95454545	1033.0
879	53.0789	1493.11363636	778.0
785	47.45488	957.714285714	491.0
791	63.71304	1790.50568182	1003.0
598	59.49039	1928.40425532	964.0
