	PD_whole_tree	chao1	observed_otus
230	67.09612	1763.36448598	815.0
247	71.02213	1694.86363636	867.0
207	53.49632	1294.2	689.0
342	60.07186	1032.32231405	621.0
333	72.88131	1856.45774648	928.0
265	71.73394	1906.91666667	939.0
364	62.5322	1546.8	711.0
355	59.74664	1311.83962264	692.0
220	55.07902	1333.76470588	735.0
341	61.58315	1461.45	699.0
272	50.30563	1025.77777778	547.0
226	72.78375	1965.08256881	906.0
358	64.28695	1497.94117647	783.0
346	64.79779	1498.16504854	735.0
257	49.33643	1445.15533981	720.0
233	54.19158	1470.9375	762.0
392	55.19926	845.451219512	513.0
347	64.876	1772.6328125	867.0
264	50.65069	1252.95145631	636.0
221	53.32933	1245.59090909	703.0
383	65.42415	1398.0	694.0
223	56.31212	1214.93258427	627.0
283	61.87048	1219.31304348	676.0
213	42.23228	705.6	448.0
255	58.78532	1354.1875	718.0
251	57.63181	1326.59663866	731.0
325	74.05064	1698.80645161	910.0
423	68.87224	1958.72131148	899.0
245	76.2553	1429.68553459	871.0
211	65.50691	1652.72222222	833.0
246	68.79609	1479.9826087	758.0
189	75.69532	1725.67692308	867.0
343	67.47531	1590.21052632	834.0
135	77.64472	1727.46666667	945.0
205	56.58508	1569.94915254	781.0
212	54.59065	990.791666667	581.0
147	66.29665	1733.94174757	792.0
378	64.05267	1441.95205479	819.0
266	73.70917	1939.10833333	887.0
248	56.38762	1328.54761905	751.0
384	59.94919	1372.19811321	700.0
222	66.22732	1786.7027027	848.0
254	59.55219	1673.71774194	859.0
258	53.43405	1317.05217391	717.0
348	60.52853	1577.19626168	747.0
369	69.58038	1714.30769231	847.0
353	80.08068	2061.68666667	1007.0
218	60.63643	1375.31304348	759.0
362	70.24761	1879.72727273	852.0
396	50.77783	1163.28282828	638.0
279	63.34	1484.13245033	859.0
324	65.72778	1459.65178571	740.0
203	61.88288	1477.66037736	873.0
382	69.11068	1799.47826087	837.0
338	71.49582	1553.4	835.0
276	61.42776	1425.19354839	804.0
267	60.61251	1337.57024793	733.0
198	67.68018	1751.67241379	873.0
344	61.9879	1664.36363636	822.0
