	PD_whole_tree	chao1	observed_otus
230	34.16128	575.27027027	261.0
247	33.01698	673.108108108	271.0
207	24.046	436.675675676	217.0
342	30.8423	557.037037037	212.0
333	32.96756	749.0	277.0
265	33.70442	769.558139535	316.0
364	29.67739	471.923076923	226.0
355	28.31183	486.756756757	220.0
220	27.92004	687.7	253.0
341	27.51803	457.0	207.0
272	25.97732	533.4	198.0
226	36.28312	581.471698113	304.0
358	33.81735	483.0	251.0
346	32.54477	624.277777778	253.0
257	25.25171	453.15	237.0
233	26.67351	550.7	260.0
392	30.59295	392.724137931	186.0
347	29.71213	611.371428571	257.0
264	22.26877	546.272727273	194.0
221	28.08426	727.6	260.0
383	28.01105	441.033333333	195.0
223	31.87459	551.323529412	240.0
283	29.10881	679.0	226.0
213	30.71728	300.0	213.0
255	29.20847	550.386363636	254.0
251	27.96615	610.034482759	240.0
325	35.94625	550.87755102	268.0
423	34.71244	729.88372093	290.0
245	41.72571	653.75	303.0
211	29.93123	605.916666667	257.0
246	32.70359	443.625	234.0
189	37.64506	584.958333333	275.0
343	33.90918	595.375	253.0
135	40.02525	772.142857143	320.0
205	28.41925	683.903225806	258.0
212	29.10835	397.6	197.0
147	36.75806	766.636363636	273.0
378	28.97275	602.029411765	251.0
266	37.10594	610.269230769	297.0
248	29.93866	531.219512195	255.0
384	28.06603	555.0	232.0
222	34.06313	658.127659574	296.0
254	31.88221	805.75	307.0
258	26.27205	520.902439024	241.0
348	28.97063	441.45	222.0
369	34.89894	649.065217391	291.0
353	38.08101	701.5	302.0
218	30.72692	581.527777778	250.0
362	33.78951	632.069767442	278.0
396	26.46104	487.275	237.0
279	30.62913	552.133333333	280.0
324	30.23473	397.0	212.0
203	33.44163	599.5	295.0
382	34.24544	603.136363636	265.0
338	33.93847	556.071428571	257.0
276	33.45699	807.6	300.0
267	26.78033	586.161290323	240.0
198	32.06817	640.363636364	274.0
344	32.57312	569.022222222	272.0
354	25.68242	531.935483871	227.0
394	19.41407	423.588235294	144.0
229	26.5633	695.275862069	240.0
215	28.74704	664.027777778	265.0
274	22.77357	433.64	185.0
225	36.53277	724.976744186	303.0
139	33.09042	430.023255814	232.0
329	31.46465	551.75	230.0
349	30.66554	552.535714286	210.0
200	31.7774	556.042553191	282.0
239	25.60115	378.75	180.0
275	32.40933	546.4375	238.0
381	29.84984	611.322580645	246.0
199	29.86523	597.022727273	282.0
235	28.53694	473.032258065	219.0
376	34.95865	620.0	252.0
240	26.87785	460.675675676	227.0
162	38.60478	875.137931034	269.0
234	16.0125	279.0	125.0
357	31.53418	636.277777778	265.0
379	28.95953	623.243243243	262.0
350	31.20173	467.551724138	196.0
438	28.45675	449.260869565	179.0
244	19.42303	252.217391304	125.0
326	30.18183	537.84375	225.0
270	24.86946	478.972972973	216.0
101	29.35419	474.2	199.0
227	27.42315	505.275	237.0
377	25.23762	617.5	240.0
436	23.07179	342.807692308	160.0
217	29.10961	764.526315789	297.0
196	30.1301	665.487179487	284.0
252	26.08973	531.027027027	241.0
284	25.8228	638.043478261	215.0
356	28.33068	786.538461538	247.0
206	20.59619	377.55	159.0
197	19.15627	403.724137931	197.0
337	28.1343	491.09375	225.0
256	31.0093	558.133333333	286.0
330	25.12057	447.0	192.0
372	19.89528	313.652173913	151.0
214	31.87397	731.75	266.0
336	24.49147	398.344827586	184.0
366	33.33319	636.5	254.0
172	30.77026	739.8	231.0
138	26.88322	428.772727273	171.0
250	25.76027	496.277777778	226.0
163	30.6744	554.571428571	231.0
375	27.21904	536.965517241	211.0
370	23.42232	375.2	179.0
374	21.37912	499.315789474	178.0
340	24.33341	374.558823529	195.0
216	30.69464	578.075	268.0
154	27.93763	669.357142857	232.0
219	28.4453	585.756756757	259.0
334	22.40868	644.3125	183.0
367	19.53458	354.260869565	156.0
100	23.60144	541.0	201.0
180	37.85347	553.9	267.0
136	33.68867	530.65	255.0
253	30.13221	631.277777778	260.0
371	30.99879	624.763157895	260.0
152	30.65836	395.516129032	195.0
156	29.96834	552.935483871	230.0
121	30.16597	479.184210526	212.0
335	24.15832	457.9	169.0
127	33.84127	633.578947368	260.0
145	37.38892	653.181818182	258.0
107	33.8104	758.5	251.0
111	28.57934	491.333333333	195.0
361	18.8568	286.75	138.0
331	17.69551	300.217391304	145.0
236	14.71157	277.166666667	123.0
191	21.56778	444.166666667	158.0
435	17.65819	373.8125	140.0
153	31.70135	597.666666667	236.0
155	21.86575	366.125	164.0
282	32.62899	662.193548387	257.0
365	25.4572	465.636363636	178.0
148	29.43062	465.8	215.0
157	29.31636	501.333333333	205.0
123	33.67486	507.405405405	233.0
151	27.73695	543.166666667	179.0
117	29.08452	658.24	229.0
99	32.06759	482.923076923	237.0
161	30.70304	635.24137931	229.0
150	33.29087	567.025641026	249.0
332	22.55435	490.142857143	178.0
132	23.09619	350.1	175.0
177	20.25267	439.894736842	158.0
389	17.8046	255.0	121.0
149	24.77309	423.791666667	174.0
597	30.87543	576.270833333	277.0
861	22.08511	798.073170732	298.0
864	23.00949	727.142857143	286.0
599	23.8792	858.884615385	253.0
811	31.66689	752.0	297.0
771	27.50807	497.636363636	207.0
875	20.52717	493.076923077	195.0
783	29.16193	521.133333333	242.0
859	34.15268	754.774193548	258.0
858	30.07277	571.103448276	221.0
876	27.76135	575.607142857	213.0
848	33.72932	778.588235294	278.0
852	25.47668	571.272727273	196.0
773	37.65718	806.447368421	288.0
839	26.25017	595.736842105	244.0
822	31.20847	567.357142857	253.0
832	30.91775	512.772727273	238.0
819	38.48899	705.222222222	318.0
816	38.27586	798.630434783	317.0
728	31.98379	610.184210526	267.0
841	24.14999	530.111111111	205.0
775	24.774	426.555555556	188.0
756	33.45615	652.433333333	239.0
843	36.47428	773.4375	270.0
867	32.00588	706.022222222	290.0
851	39.38754	814.5	312.0
784	21.40816	522.0	165.0
873	24.92522	699.24	228.0
804	26.99866	483.4	226.0
821	24.7891	614.44	214.0
779	37.25102	655.022222222	289.0
836	27.74274	600.103448276	225.0
754	27.09271	487.022222222	232.0
826	31.77349	636.625	256.0
716	33.68972	609.783783784	266.0
751	34.68077	507.184210526	240.0
818	37.18701	773.875	301.0
758	33.04485	615.525	269.0
838	26.87761	652.275862069	230.0
883	33.69365	809.0	294.0
778	24.61072	407.103448276	185.0
834	34.19118	748.75	262.0
849	28.89618	560.121212121	226.0
815	34.22051	827.428571429	287.0
817	36.80596	578.722222222	287.0
794	38.76151	673.125	303.0
777	36.17742	653.488372093	283.0
820	38.59183	808.272727273	319.0
807	28.76291	669.275862069	247.0
882	31.36297	792.529411765	270.0
786	44.83351	1004.53846154	341.0
829	28.67548	538.6	232.0
801	35.21733	729.957446809	315.0
814	39.02263	879.660377358	352.0
857	22.84796	716.333333333	296.0
798	31.8239	584.0	242.0
879	19.1256	590.130434783	191.0
785	20.83317	357.333333333	158.0
791	27.77619	613.029411765	262.0
598	26.58385	636.357142857	278.0
782	26.54801	896.391304348	242.0
793	30.1243	551.935483871	229.0
833	29.2894	605.885714286	247.0
787	24.73674	505.033333333	208.0
844	17.72343	408.222222222	178.0
845	19.77353	500.137931034	211.0
808	31.1653	778.578947368	291.0
878	23.10893	549.607142857	212.0
1283	34.59256	885.833333333	305.0
717	30.3781	577.25	250.0
770	36.02191	813.037735849	346.0
718	24.74319	453.0	198.0
726	35.00488	832.733333333	331.0
752	28.87291	444.692307692	223.0
780	30.55052	741.25	260.0
828	31.08438	696.666666667	264.0
755	26.64145	581.6	219.0
733	32.09499	596.363636364	244.0
835	34.69649	739.363636364	262.0
837	21.36044	442.823529412	200.0
727	33.57697	613.071428571	267.0
868	19.11865	394.28125	193.0
831	30.92036	668.03030303	248.0
781	20.11816	424.0	186.0
750	21.76552	453.441176471	203.0
596	26.76714	582.527777778	251.0
830	26.13366	842.15	222.0
862	22.29225	645.666666667	256.0
869	23.58575	532.0	230.0
842	24.29394	618.789473684	191.0
732	15.85394	312.166666667	149.0
863	14.29213	540.0	150.0
860	30.52031	804.0	237.0
850	21.96123	441.033333333	195.0
3249	28.99414	994.416666667	313.0
3293	24.45089	976.636363636	286.0
3022	38.02802	858.135135135	304.0
3247	40.66195	1169.85714286	362.0
3269	40.16052	1242.07142857	371.0
3296	36.79745	885.348837209	320.0
3015	37.14171	897.071428571	313.0
3399	23.42355	790.333333333	252.0
3026	26.42678	770.333333333	257.0
3398	22.96291	834.24	246.0
3030	23.87131	771.777777778	246.0
3039	25.85487	664.8125	242.0
3264	36.19614	902.763157895	303.0
3274	37.38356	832.529411765	334.0
3248	36.28031	915.25	313.0
3044	34.39132	911.275862069	279.0
3018	32.74591	865.675675676	295.0
3014	38.23447	761.018181818	327.0
3200	39.19373	830.717948718	305.0
3028	24.54143	620.833333333	245.0
3272	23.71616	608.428571429	245.0
3292	24.06462	843.076923077	244.0
3109	36.78367	794.5	297.0
3040	15.42542	385.965517241	183.0
3185	30.36555	772.228571429	270.0
3202	30.7113	854.823529412	287.0
3024	18.25426	548.026315789	238.0
3108	23.8253	662.857142857	253.0
3143	41.75655	1037.75675676	326.0
3257	25.07583	469.0	207.0
3027	27.36792	741.181818182	253.0
3298	31.9365	950.0	280.0
3126	33.94829	645.58490566	296.0
3144	37.68602	1096.87755102	383.0
3276	19.96001	775.357142857	244.0
3391	33.42357	928.357142857	323.0
3203	29.83431	846.823529412	279.0
3280	35.64151	958.716981132	362.0
3016	45.15716	1144.11764706	400.0
3289	19.94345	479.1875	209.0
3031	23.34434	672.217391304	212.0
3255	21.95708	683.476190476	200.0
3034	24.73871	729.387096774	255.0
3019	14.40059	422.1	192.0
3290	18.63465	727.0	209.0
3286	28.2556	609.459459459	257.0
3205	22.44296	784.525	292.0
3042	30.51407	605.136363636	267.0
3397	36.34814	799.5	288.0
3273	36.64231	912.125	284.0
3271	35.13369	688.028571429	258.0
3131	38.53363	865.692307692	303.0
3279	32.86927	1222.17142857	340.0
3389	25.05979	647.7	229.0
3101	35.42783	832.025	299.0
3300	36.25253	904.926829268	312.0
3123	30.58873	595.736842105	244.0
3136	28.37959	774.357142857	243.0
