	PD_whole_tree	chao1	observed_otus
230	51.91872	1061.49315068	511.0
247	51.77062	1073.13888889	515.0
207	41.54679	886.436619718	441.0
342	45.35035	825.610169492	387.0
333	55.61779	1712.69230769	599.0
265	51.78309	1189.96774194	592.0
364	44.9335	1069.64285714	445.0
355	46.40228	838.0625	449.0
220	40.07808	1053.59090909	466.0
341	46.31686	1043.89285714	438.0
272	39.52231	674.137931034	358.0
226	55.47855	1270.15189873	583.0
358	50.50926	1059.41176471	485.0
346	51.29898	1099.0	469.0
257	38.52618	862.329113924	462.0
233	38.77546	874.808219178	462.0
392	43.43667	580.278688525	342.0
347	47.41224	1348.30508475	526.0
264	36.10246	720.878787879	382.0
221	41.09269	1046.78688525	469.0
383	49.37433	927.649350649	449.0
223	44.2429	794.48	431.0
283	47.22925	1025.421875	458.0
213	36.38114	416.157894737	324.0
255	44.66071	1026.30357143	448.0
251	44.87809	790.6	456.0
325	54.13294	1336.41791045	536.0
423	51.51719	1239.22077922	547.0
245	58.47709	973.534090909	536.0
211	47.06304	1201.88888889	494.0
246	52.47229	1074.83870968	476.0
189	59.7398	1343.01388889	552.0
343	50.62215	1153.03797468	511.0
135	58.48515	1160.06122449	596.0
205	42.2263	1054.45	505.0
212	42.70486	682.904109589	388.0
147	54.33735	1029.2	509.0
378	45.05349	1213.01428571	511.0
266	53.39355	1076.49367089	535.0
248	45.10254	1083.04166667	497.0
384	45.02992	890.134328358	433.0
222	48.83378	1088.86842105	526.0
254	46.28034	1191.01282051	561.0
258	37.67544	989.0	451.0
348	45.76124	956.5	453.0
369	54.33157	1128.28571429	547.0
353	60.60361	1456.24719101	630.0
218	46.88107	868.180722892	478.0
362	49.33463	951.72826087	518.0
396	37.1561	797.408450704	420.0
279	48.83845	1242.74358974	551.0
324	49.32333	924.590909091	453.0
203	47.7949	1047.01086957	566.0
382	49.55853	1104.12345679	509.0
338	51.44608	1004.27272727	497.0
276	46.53674	977.040540541	515.0
267	44.24453	1094.65454545	449.0
198	51.09121	1090.13888889	532.0
344	45.82738	1154.91549296	519.0
354	41.28606	1142.12307692	484.0
394	30.86165	592.0	282.0
229	39.61209	884.875	433.0
215	43.80567	1184.10909091	479.0
274	36.02953	728.517857143	366.0
225	53.49188	1099.76136364	566.0
139	47.83563	1149.16176471	494.0
329	48.2237	1112.90625	485.0
349	45.6401	853.178571429	387.0
200	47.23837	928.635135135	491.0
239	39.38572	698.084745763	354.0
275	45.35984	873.35	419.0
381	45.27708	1016.14285714	474.0
199	42.72709	1128.84210526	487.0
235	41.00762	762.655737705	396.0
376	51.08896	898.134328358	441.0
240	42.99916	901.846153846	442.0
162	54.2474	991.4	503.0
234	26.33814	564.965517241	239.0
357	46.72926	1175.01265823	537.0
379	47.08935	1175.28571429	513.0
350	45.98555	814.368421053	384.0
438	43.08728	711.518518519	354.0
244	29.95803	477.75	247.0
326	51.08095	997.278481013	485.0
270	36.79262	908.692307692	426.0
101	42.22724	865.632653061	374.0
227	44.32815	849.558441558	455.0
377	39.01798	1016.84615385	454.0
436	39.05172	891.956521739	349.0
217	43.98651	922.032967033	520.0
196	43.2165	1078.30882353	508.0
252	41.15303	855.666666667	463.0
284	38.21085	834.1	391.0
356	42.30637	889.220779221	462.0
206	33.84259	703.571428571	320.0
197	29.65904	661.068965517	358.0
337	40.44679	945.053571429	420.0
256	48.42205	1121.98507463	539.0
330	38.47905	957.127659574	387.0
372	32.89494	662.765957447	320.0
214	46.04958	1174.25	495.0
336	39.16649	833.568181818	349.0
366	54.16421	1150.10989011	539.0
172	48.59276	1023.60810811	469.0
138	40.16019	649.185185185	334.0
250	41.30937	987.046153846	457.0
163	52.60427	1135.88888889	492.0
375	39.45015	935.142857143	393.0
370	37.70714	909.5	357.0
374	28.7321	684.675675676	301.0
340	38.43415	848.8125	374.0
216	45.56858	985.833333333	500.0
154	47.39156	1328.26415094	465.0
219	44.37132	1029.0	487.0
334	35.50745	873.944444444	382.0
367	35.89346	833.4	355.0
100	36.89571	816.615384615	390.0
180	54.82061	1010.37078652	533.0
136	50.69929	860.682926829	475.0
253	45.22032	1237.03947368	540.0
371	46.15037	1012.22727273	462.0
152	45.84334	897.166666667	388.0
156	51.3598	1196.67857143	474.0
121	48.07375	915.166666667	417.0
335	35.06498	710.020408163	324.0
127	54.57074	1073.78409091	526.0
145	56.67083	1203.42857143	501.0
107	48.71158	890.202702703	456.0
111	41.64019	806.467741935	378.0
361	30.23709	618.527777778	274.0
331	28.33471	554.9	268.0
236	22.23592	393.666666667	221.0
191	32.48733	660.692307692	288.0
435	27.95894	573.028571429	258.0
153	48.8075	1079.01351351	493.0
155	33.54084	708.279069767	321.0
282	45.92239	1103.77586207	473.0
365	39.20069	835.022222222	352.0
148	45.19142	1022.19607843	407.0
157	47.36923	896.552238806	432.0
123	49.76491	938.740740741	477.0
151	36.62862	612.153846154	316.0
117	43.25264	937.318181818	435.0
99	48.74445	953.163934426	447.0
161	52.19698	1329.76785714	491.0
150	49.44057	1083.4	493.0
332	34.94618	684.32	329.0
132	39.84818	639.918918919	371.0
177	28.90655	591.538461538	292.0
389	27.84717	518.088235294	236.0
149	36.63026	673.145833333	330.0
597	47.9085	1196.41304348	570.0
861	34.90112	1070.0	587.0
864	35.64434	1267.0	573.0
599	38.75249	978.458333333	459.0
811	51.0191	1298.6	620.0
771	40.95705	940.942307692	394.0
875	33.76912	831.362068966	393.0
783	45.39052	1059.1641791	472.0
859	49.79023	1145.2	523.0
858	45.17197	913.692307692	455.0
876	42.49688	901.638888889	434.0
848	55.19126	1348.375	614.0
852	39.19514	888.982142857	398.0
773	53.38767	1317.075	558.0
839	46.81934	1185.0	527.0
822	49.43209	1182.01298701	515.0
832	46.08671	1009.12195122	491.0
819	58.96695	1473.8125	655.0
816	58.73212	1372.48039216	644.0
728	48.17761	1120.19736842	534.0
841	43.08007	1090.91666667	468.0
775	37.41838	865.444444444	382.0
756	48.51825	1035.0	477.0
843	56.82997	1374.01428571	541.0
867	48.03458	1166.78571429	540.0
851	56.8792	1442.03658537	623.0
784	34.21971	815.022222222	332.0
873	39.70135	1274.25	476.0
804	40.84216	911.128205128	449.0
821	35.69943	1158.24528302	437.0
779	55.42494	1181.83333333	575.0
836	43.29228	1022.13888889	464.0
754	47.70457	1099.28169014	476.0
826	45.8151	1237.88405797	512.0
716	50.64142	1025.57692308	514.0
751	49.62034	1241.09836066	496.0
818	58.57319	1571.57692308	614.0
758	49.9482	1149.03896104	523.0
838	43.81134	986.08	469.0
883	51.32667	1212.24742268	579.0
778	41.30116	907.158730159	421.0
834	51.66793	1035.82142857	509.0
849	46.61092	1137.34782609	483.0
815	55.12045	1289.0	587.0
817	55.78632	1127.75	566.0
794	57.29534	1349.66666667	568.0
777	54.34593	1289.27659574	598.0
820	57.99004	1632.94186047	658.0
807	46.94063	950.186046512	496.0
882	51.78344	1260.7173913	570.0
786	63.06425	1430.01041667	656.0
829	43.19763	1291.53731343	496.0
801	53.40222	1378.22826087	616.0
814	60.41946	1825.60824742	723.0
857	35.36586	1114.87912088	554.0
798	49.88414	1217.74324324	515.0
879	31.49828	796.810810811	406.0
785	32.94589	685.941176471	288.0
791	44.08757	1255.04	540.0
598	41.44307	1449.35384615	547.0
782	36.88843	606.470588235	393.0
793	45.30909	907.791044776	432.0
833	43.71992	1010.3943662	472.0
787	38.09307	779.958333333	411.0
844	30.24629	789.294117647	359.0
845	32.91739	807.957746479	424.0
808	50.51386	1500.01428571	582.0
878	34.80934	852.178571429	386.0
1283	53.83417	1331.75862069	589.0
717	42.64428	934.791044776	459.0
770	54.23196	1452.69473684	646.0
718	34.26461	595.352941176	317.0
726	54.25992	1544.0	647.0
752	44.28614	1001.07843137	415.0
780	46.677	1049.21348315	518.0
828	51.52518	1511.34615385	593.0
755	45.21495	873.924050633	451.0
733	44.39959	1026.31343284	464.0
835	51.98337	1234.10810811	527.0
837	34.59924	977.172413793	410.0
727	50.29874	1096.3956044	546.0
868	33.14404	801.761904762	391.0
831	45.47557	1061.16666667	490.0
781	32.25321	770.381818182	356.0
750	34.6735	776.408450704	399.0
596	43.60909	1161.55882353	502.0
830	39.67851	1145.54545455	466.0
862	34.5466	1213.63888889	518.0
869	37.66432	946.2875	465.0
842	36.40012	825.081967213	382.0
732	21.75066	465.717948718	267.0
863	25.16889	725.957446809	311.0
860	46.45941	1073.46753247	491.0
850	36.13024	954.75	415.0
3249	49.56794	1783.61363636	661.0
3293	37.51225	1161.72826087	539.0
3022	62.05708	1490.10869565	640.0
3247	63.34031	1914.875	744.0
3269	62.78225	1874.5	722.0
3296	60.94476	1559.3258427	631.0
3015	57.7039	1414.15384615	643.0
3399	36.85458	1024.89655172	499.0
3026	45.07126	1440.4057971	540.0
3398	37.95804	1178.875	492.0
3030	37.38579	1272.71830986	522.0
3039	40.52121	1116.26190476	520.0
3264	55.35692	1455.62264151	653.0
3274	58.07863	1678.15384615	674.0
3248	54.91023	1358.89908257	645.0
3044	52.10838	1145.82142857	542.0
3018	55.33972	1447.21428571	637.0
3014	59.66518	1648.40366972	705.0
3200	57.26863	1274.15789474	609.0
3028	39.53158	1309.04	527.0
3272	38.23989	1146.75862069	519.0
3292	38.53337	1450.37878788	525.0
3109	57.41453	1257.03	600.0
3040	22.68811	713.529411765	354.0
3185	44.257	1310.27848101	546.0
3202	42.97268	1246.43373494	548.0
3024	27.63029	901.441558442	454.0
3108	40.17663	1103.01351351	505.0
3143	63.54544	1478.1	682.0
3257	40.6872	1096.33870968	439.0
3027	42.80714	1191.16666667	528.0
3298	48.18914	1420.0	573.0
3126	56.11919	1499.42105263	634.0
3144	60.50706	1790.88392857	773.0
3276	33.65246	1276.04545455	493.0
3391	54.37621	1543.0	669.0
3203	43.55554	1243.51898734	548.0
3280	60.08348	1887.43902439	803.0
3016	67.46928	1960.14285714	791.0
3289	31.92676	1013.41791045	447.0
3031	38.18369	975.144927536	441.0
3255	33.79224	863.103448276	385.0
3034	39.09927	1348.51470588	506.0
3019	22.23091	742.051724138	378.0
3290	34.39795	1287.85714286	460.0
3286	45.88422	1327.07692308	553.0
3205	34.5535	1397.81081081	563.0
