	PD_whole_tree	chao1	observed_otus
230	60.05531	1241.7	662.0
247	63.82843	1421.33333333	729.0
207	47.14093	1195.67901235	589.0
342	55.73086	1016.42857143	521.0
333	64.53498	1655.0	769.0
265	62.41219	1550.21929825	771.0
364	54.23009	1271.03571429	589.0
355	55.12709	1121.66666667	590.0
220	49.13379	1347.41860465	625.0
341	55.61086	1126.8172043	578.0
272	45.29533	793.077922078	457.0
226	66.28411	1516.98113208	749.0
358	57.44235	1276.5625	644.0
346	58.27655	1377.65853659	620.0
257	42.48519	1197.03947368	579.0
233	48.02288	1200.78	648.0
392	51.76313	832.5	453.0
347	61.01272	1716.50526316	732.0
264	42.65848	1056.92405063	508.0
221	50.19684	1463.12345679	643.0
383	56.1333	1228.75862069	578.0
223	50.72012	1020.5	541.0
283	52.95606	1082.375	577.0
213	40.77948	594.522727273	392.0
255	52.23113	1143.65517241	586.0
251	55.10156	1419.18181818	626.0
325	66.98439	1674.01980198	748.0
423	62.61002	1696.08849558	774.0
245	70.70361	1543.99056604	753.0
211	59.41619	1807.01351351	696.0
246	59.18333	1254.20689655	615.0
189	68.76371	1593.13888889	751.0
343	61.65446	1598.75728155	724.0
135	70.44694	1647.625	802.0
205	50.80247	1454.97849462	656.0
212	49.0129	844.012345679	484.0
147	62.36789	1565.53846154	693.0
378	55.18791	1263.58064516	692.0
266	64.04446	1667.12903226	730.0
248	52.1582	1376.16853933	642.0
384	56.02069	1162.63917526	603.0
222	58.27528	1502.03092784	716.0
254	54.17074	1503.99082569	746.0
258	45.98692	1330.1625	597.0
348	53.08621	1297.61111111	619.0
369	62.21745	1243.12195122	706.0
353	69.758	1695.47413793	809.0
218	56.96816	1225.76470588	644.0
362	63.33247	1546.05882353	716.0
396	46.68094	1014.37894737	561.0
279	56.09514	1202.97142857	718.0
324	58.85484	1336.29166667	596.0
203	57.37452	1590.95876289	735.0
382	60.44893	1570.72727273	703.0
338	63.15408	1350.91588785	685.0
276	56.49847	1235.76470588	684.0
267	52.47196	1333.44578313	606.0
198	60.34496	1455.63461538	730.0
344	56.43765	1600.28409091	698.0
354	50.41136	1286.2	640.0
394	38.30463	761.508474576	386.0
229	48.52169	1172.0	592.0
215	52.08497	1367.01234568	613.0
274	44.30545	904.658227848	485.0
225	64.43411	1483.43269231	739.0
139	58.92695	1365.38297872	647.0
329	58.23775	1309.61797753	639.0
349	54.1031	1110.31818182	510.0
200	57.10891	1327.49514563	679.0
239	48.89802	952.488372093	508.0
275	52.98813	1019.64935065	541.0
381	51.75235	1442.03896104	626.0
199	48.49745	1210.91304348	628.0
235	50.10811	1114.72368421	548.0
376	61.12459	1337.48	596.0
240	48.24186	1187.80487805	577.0
162	67.22895	1467.22727273	705.0
234	31.47003	568.553191489	308.0
357	58.53842	1361.40707965	697.0
379	56.76947	1548.45744681	691.0
350	57.70138	1163.72058824	526.0
438	50.51625	888.783783784	458.0
244	33.56561	604.534883721	305.0
326	60.8051	1424.52808989	645.0
270	43.63205	1086.76136364	553.0
101	52.17006	1120.61538462	498.0
227	53.02805	1116.25	610.0
377	47.75968	1129.54545455	601.0
436	48.24545	924.753623188	448.0
217	52.63996	1333.66666667	705.0
196	49.39285	1200.91666667	661.0
252	48.19886	1122.28409091	592.0
284	46.31181	1069.25	533.0
356	53.53889	1370.11111111	632.0
206	40.38644	761.630769231	411.0
197	37.29827	1010.52173913	492.0
337	47.55524	1112.01369863	534.0
256	58.15609	1510.7625	694.0
330	48.4427	974.010309278	533.0
372	36.40495	826.49122807	400.0
214	53.50472	1384.39423077	681.0
336	47.1458	1029.22727273	479.0
366	66.61808	1434.11009174	702.0
172	55.64751	1398.72527473	624.0
138	48.00192	868.25	450.0
250	49.3116	1152.11320755	618.0
163	59.03191	1432.70967742	642.0
375	46.03462	1147.61643836	525.0
370	44.84713	1079.79104478	480.0
374	38.05624	785.516129032	411.0
340	44.84885	1037.08955224	487.0
216	53.42447	1176.63636364	665.0
154	57.23707	1378.67346939	640.0
219	55.58109	1413.88118812	682.0
334	42.07852	1174.71014493	516.0
367	41.48141	1008.26315789	449.0
100	45.63802	1347.15873016	537.0
180	66.09314	1423.02857143	708.0
136	61.22022	1249.81111111	617.0
253	52.75144	1211.50833333	676.0
371	56.15079	1208.95789474	613.0
152	54.0985	1164.0	538.0
156	57.5785	1266.75961538	635.0
121	52.9033	929.0	521.0
335	44.27984	1086.77777778	439.0
127	61.68059	1531.53488372	672.0
145	67.93087	1253.53448276	684.0
107	61.21539	1321.47826087	650.0
111	51.14662	970.602409639	500.0
361	35.38436	727.75	364.0
331	31.1308	708.133333333	334.0
236	27.28992	579.097560976	288.0
191	39.67139	1068.55769231	431.0
435	31.91337	778.022222222	349.0
153	60.7939	1290.28440367	664.0
155	43.20921	1018.44444444	459.0
282	54.65193	1416.88157895	627.0
365	46.3276	1073.08450704	491.0
148	54.68967	1243.98701299	556.0
157	54.03738	1151.19230769	549.0
123	60.50758	1198.29824561	644.0
151	48.52091	1108.56896552	459.0
117	49.7663	1076.37373737	580.0
99	54.84513	1135.55421687	577.0
161	62.19523	1329.55445545	650.0
150	59.28114	1305.03	648.0
332	41.12952	921.458333333	461.0
132	45.60839	891.138888889	476.0
177	37.06133	673.014925373	376.0
389	32.91757	675.0	317.0
149	45.84974	957.537313433	455.0
597	57.3322	1480.0	759.0
861	43.03021	1233.88741722	767.0
864	43.24584	1338.20689655	774.0
599	48.57723	1413.28	643.0
811	61.61469	1977.83333333	849.0
771	50.41668	997.072916667	533.0
875	43.15533	998.02970297	551.0
783	53.55784	1066.11111111	614.0
859	63.37327	1497.75229358	721.0
858	51.10108	944.441176471	556.0
876	51.93367	1306.6547619	592.0
848	67.24396	1855.20588235	793.0
852	48.9777	1152.55555556	542.0
773	63.57228	1603.48695652	756.0
839	54.24667	1395.16935484	719.0
822	55.81745	1334.84297521	695.0
832	58.03705	1464.34259259	688.0
819	69.31377	1678.98013245	866.0
816	70.36741	1862.21705426	860.0
728	59.86181	1756.35955056	744.0
841	49.41528	1439.36904762	609.0
775	45.68572	1166.28571429	504.0
756	56.53111	1216.25925926	641.0
843	67.22002	1562.68141593	735.0
867	60.43084	1555.78861789	749.0
851	69.19151	1677.08064516	822.0
784	40.10732	918.369863014	450.0
873	48.09863	1408.15463918	654.0
804	52.56287	1341.69473684	627.0
821	43.64737	1303.64935065	564.0
779	65.10543	1666.42056075	772.0
836	58.15892	1567.53	675.0
754	55.45386	1384.23076923	630.0
826	56.496	1682.10204082	710.0
716	58.36378	1325.44329897	674.0
751	62.91747	1548.66315789	696.0
818	69.41723	1841.45454545	831.0
758	58.79523	1358.56896552	708.0
838	51.1389	1239.72826087	617.0
883	64.48311	1455.79545455	770.0
778	48.95977	1286.25	555.0
834	64.28203	1605.55913978	704.0
849	55.18774	1158.85714286	610.0
815	64.65066	1605.11570248	796.0
817	68.48229	1472.74626866	778.0
794	68.07243	1596.44628099	780.0
777	65.20966	1804.23893805	808.0
820	69.06579	1815.4962406	870.0
807	58.27591	1631.07865169	689.0
882	62.44929	1674.13392857	756.0
786	72.12936	1646.63909774	839.0
829	51.75554	1384.10377358	650.0
801	64.20421	1655.65693431	827.0
814	74.13624	2036.92727273	991.0
857	45.24679	1304.34482759	754.0
798	58.78459	1373.15037594	721.0
879	41.33521	1290.51428571	543.0
785	40.75912	758.411764706	376.0
791	51.78115	1605.89690722	716.0
598	48.82757	1322.1	688.0
782	44.90392	934.577319588	549.0
793	49.40701	1216.94318182	585.0
833	56.00744	1344.80555556	671.0
787	45.84053	1177.74324324	543.0
844	37.29084	1011.45454545	537.0
845	41.3059	1170.23333333	578.0
808	60.31835	1638.16393443	799.0
878	45.78271	1257.11363636	571.0
1283	61.71048	1644.3364486	754.0
717	51.07651	1092.19148936	599.0
770	64.60091	1721.54347826	864.0
718	43.94879	870.138888889	455.0
726	67.3245	1818.11510791	888.0
752	51.90802	1298.08695652	563.0
780	55.79685	1305.50862069	688.0
828	62.78142	1578.296875	782.0
755	55.33094	1219.96875	609.0
733	52.31453	1151.45714286	625.0
835	63.37971	1619.38709677	709.0
837	42.40923	1230.25925926	556.0
727	58.75644	1404.76	734.0
868	41.90838	1040.57692308	529.0
831	55.12781	1397.67924528	671.0
781	39.16834	1040.38888889	494.0
750	44.34986	1130.8	568.0
596	53.47311	1561.37373737	702.0
830	47.57143	1275.03448276	589.0
862	40.71478	1316.85294118	662.0
869	46.35978	1216.67213115	648.0
842	46.82138	1322.72727273	525.0
732	24.34003	444.466666667	309.0
863	29.1244	876.016666667	402.0
860	56.44946	1414.34579439	676.0
850	45.40844	1321.35897436	565.0
3249	60.10206	1889.62162162	888.0
3293	50.68434	1761.1826087	774.0
3022	72.40738	2062.95867769	878.0
3247	77.44453	2137.91304348	988.0
3269	75.81324	2228.4893617	992.0
3296	71.62027	1701.4	865.0
3015	72.20163	1987.62745098	924.0
3399	46.5462	1497.90909091	698.0
3026	56.19747	1914.66666667	769.0
3398	47.62709	1338.00909091	659.0
3030	44.38883	1518.54054054	703.0
3039	50.42722	1776.69148936	721.0
3264	67.07199	2175.73282443	916.0
3274	68.52039	1793.92198582	877.0
3248	67.12045	1740.29787234	852.0
3044	63.08938	1509.02459016	753.0
3018	66.47677	1803.27067669	854.0
3014	73.42899	2330.82575758	974.0
3200	67.31204	1652.81034483	805.0
3028	49.56093	1716.30555556	726.0
3272	47.40096	1692.77669903	725.0
3292	48.89485	1759.50980392	720.0
3109	66.80808	1880.6875	811.0
3040	27.10354	787.963414634	464.0
3185	55.56286	1584.65546218	747.0
3202	56.49214	1632.0859375	782.0
3024	36.00855	1094.5	607.0
3108	45.5678	1458.98913043	668.0
3143	75.1573	1748.85276074	921.0
3257	49.44383	1330.0326087	604.0
3027	54.4567	1758.67346939	714.0
3298	60.27308	1858.25735294	843.0
3126	68.79826	1881.00740741	866.0
3144	75.07011	2434.06040268	1066.0
3276	40.72242	1496.84955752	707.0
3391	63.84963	2274.27966102	900.0
3203	53.66344	1697.38679245	757.0
3280	73.79063	2712.33112583	1106.0
3016	80.21422	2234.71428571	1074.0
3289	39.40681	1205.87878788	603.0
3031	46.30187	1428.87912088	625.0
3255	43.77783	1329.26315789	553.0
3034	47.46567	1526.0	688.0
3019	28.38575	732.45631068	479.0
3290	41.22037	1109.75454545	592.0
3286	58.17189	1506.14285714	749.0
3205	43.56785	1559.21538462	789.0
3042	54.07666	1390.92857143	660.0
3397	60.75333	1549.58823529	760.0
3273	66.16625	1770.025	800.0
3271	62.65026	1543.79487179	737.0
3131	67.84872	1745.22330097	799.0
3279	69.85484	2318.50980392	1007.0
3389	44.4704	1483.23333333	623.0
3101	67.2438	2005.00724638	895.0
3300	67.69969	1867.82758621	879.0
3123	59.93094	1601.46153846	738.0
3136	54.53721	1487.33962264	673.0
3139	67.42204	1692.26229508	808.0
3032	37.44942	983.038961039	483.0
3244	62.76957	1888.04580153	826.0
3148	60.56746	1551.65486726	743.0
3265	60.81466	1815.27884615	751.0
3297	66.32319	1919.07633588	853.0
3275	47.78321	1461.52459016	723.0
3266	66.28088	1830.00840336	815.0
3187	72.44811	2032.68503937	874.0
3201	47.222	1569.3956044	657.0
3013	57.63211	1923.86	755.0
3256	35.33016	909.0	429.0
3099	47.89679	1575.02941176	700.0
3245	62.19398	1797.05426357	830.0
3188	50.82992	1590.78787879	702.0
3288	52.63221	1573.00925926	703.0
3299	60.48291	1961.12389381	817.0
3294	50.99068	1730.86734694	700.0
3400	28.42031	795.791666667	452.0
3186	73.16376	1677.40764331	886.0
3140	65.54471	2054.83333333	860.0
3396	57.80934	1395.6635514	694.0
3267	63.71851	1628.24	780.0
3035	60.29032	1734.00833333	780.0
3305	56.53219	1465.224	717.0
3204	65.02389	2094.78625954	917.0
3395	67.73044	2247.03937008	902.0
3025	63.037	1632.26771654	819.0
3141	68.31453	1955.65254237	834.0
3302	61.09245	1801.30769231	794.0
3303	54.57304	1635.0	876.0
3270	63.81547	1855.32978723	742.0
3390	65.33713	1786.47008547	808.0
3020	67.77636	1899.11811024	861.0
3206	42.38324	1425.97222222	720.0
3110	53.78536	1930.16513761	813.0
3142	74.47017	1894.02040816	915.0
3128	59.27307	1632.0	738.0
3041	33.26915	855.808219178	443.0
3129	67.70684	1679.77952756	823.0
3124	62.44343	1948.45631068	771.0
3021	31.36744	775.075949367	430.0
3246	53.33677	1454.56122449	628.0
3281	68.82807	1915.69461078	965.0
3132	50.49395	1644.90517241	774.0
3182	43.38603	1509.0	564.0
3304	54.24634	1474.00990099	660.0
