	PD_whole_tree	chao1	observed_otus
230	60.44083	1376.16494845	680.0
247	63.96744	1681.06315789	746.0
207	49.01097	1211.78021978	597.0
342	55.0344	1107.04	517.0
333	64.37766	1695.83486239	769.0
265	64.08234	1589.04761905	805.0
364	54.35908	1355.56338028	577.0
355	51.71931	1150.67901235	567.0
220	49.48119	1355.25	624.0
341	54.42808	1206.12345679	576.0
272	44.539	1052.21666667	478.0
226	65.41193	1485.05	742.0
358	57.71172	1213.75229358	647.0
346	58.85519	1205.76470588	624.0
257	43.59177	1174.0	600.0
233	46.83216	1154.16129032	619.0
392	50.68483	811.677966102	429.0
347	59.47041	1713.55913978	731.0
264	43.21106	1274.22058824	533.0
221	48.10198	1162.4	615.0
383	58.05324	1182.4673913	578.0
223	51.91995	1048.27631579	538.0
283	55.5779	1321.83333333	577.0
213	39.67575	565.117647059	393.0
255	51.26607	1249.07317073	607.0
251	53.72201	1379.7037037	630.0
325	65.18761	1624.05555556	746.0
423	63.98724	1729.13043478	787.0
245	68.03917	1330.89090909	717.0
211	59.88918	1482.98913043	692.0
246	61.57812	1340.11111111	616.0
189	66.19543	1524.43269231	730.0
343	62.42836	1569.2038835	719.0
135	70.73692	1768.39423077	797.0
205	52.25393	1470.56666667	662.0
212	50.51357	919.795180723	511.0
147	61.76126	1521.85714286	684.0
378	56.97518	1579.91919192	708.0
266	64.68213	1511.74285714	721.0
248	49.08416	1150.44329897	611.0
384	56.52783	1156.625	598.0
222	58.72982	1336.26548673	719.0
254	55.24174	1389.28448276	732.0
258	48.05919	1244.90697674	606.0
348	51.9468	1132.84466019	609.0
369	63.06855	1352.30555556	703.0
353	66.28146	1607.52307692	820.0
218	57.57844	1337.21052632	657.0
362	61.91069	1387.26470588	685.0
396	45.74475	1073.02409639	547.0
279	56.00001	1269.16101695	700.0
324	59.97656	1365.06024096	625.0
203	57.78123	1441.14159292	742.0
382	60.9519	1609.48543689	714.0
338	62.8755	1375.88888889	695.0
276	55.56007	1145.09174312	668.0
267	54.83569	1364.0326087	638.0
198	60.31343	1389.16513761	732.0
344	55.92568	1371.6	693.0
354	49.03324	1250.65178571	651.0
394	39.04339	750.372881356	389.0
229	47.79304	1067.05	585.0
215	51.54479	1404.97468354	623.0
274	45.25919	948.666666667	497.0
225	65.53899	1646.6185567	761.0
139	59.83503	1540.45121951	653.0
329	57.57079	1268.11111111	624.0
