	PD_whole_tree	chao1	observed_otus
230	52.15547	1276.2	548.0
247	51.34013	1274.91176471	543.0
207	40.4084	1020.46774194	452.0
342	47.49075	1015.10909091	417.0
333	52.39783	1223.69620253	549.0
265	54.2813	1442.88607595	602.0
364	46.23707	958.916666667	436.0
355	45.41394	833.164383562	437.0
220	42.41765	1065.43859649	461.0
341	41.94167	876.105263158	406.0
272	36.95019	860.642857143	353.0
226	57.33249	1213.18390805	593.0
358	49.21074	1212.04545455	505.0
346	48.78215	951.0	449.0
257	36.20191	884.47761194	442.0
233	41.55816	1064.04166667	498.0
392	43.78638	640.125	346.0
347	47.44852	1147.28378378	529.0
264	33.29888	681.052631579	356.0
221	40.35234	909.245901639	443.0
383	46.33468	867.779411765	421.0
223	44.0514	854.126760563	440.0
283	46.9222	997.229508197	441.0
213	37.72167	486.117647059	339.0
255	45.03985	870.985915493	450.0
251	44.27287	899.150684932	459.0
325	52.37758	1174.38636364	550.0
423	47.76286	1114.46153846	543.0
245	55.68295	1144.0	546.0
211	48.56264	1171.66666667	526.0
246	50.29856	997.333333333	467.0
189	58.70961	1436.2	560.0
343	51.87769	1050.19230769	498.0
135	56.71414	1003.22727273	579.0
205	42.4136	1278.04761905	503.0
212	41.70151	720.158730159	385.0
147	48.8602	1178.61016949	483.0
378	47.09684	1191.8	512.0
266	53.65676	1267.0	562.0
248	45.20563	914.346153846	476.0
384	44.50408	843.243589744	441.0
222	48.39227	1013.03896104	513.0
254	44.95477	1132.01351351	534.0
258	39.59187	1059.14705882	464.0
348	45.35752	972.333333333	470.0
369	53.99774	1256.96153846	561.0
353	57.20955	1118.84466019	595.0
218	48.00746	955.53164557	489.0
362	50.31829	1188.46153846	530.0
396	38.06152	891.642857143	409.0
279	46.86501	1164.60810811	534.0
324	48.62975	1154.28301887	464.0
203	48.68952	1269.68	572.0
382	51.07647	1057.95121951	511.0
338	53.31088	1252.87323944	534.0
276	47.95494	988.561643836	513.0
267	43.52692	1165.76271186	475.0
198	52.74002	1269.01428571	567.0
344	45.79353	1095.52173913	509.0
354	40.42234	1257.0	497.0
394	33.34303	555.826086957	293.0
229	40.08037	866.553846154	429.0
215	43.89156	985.661764706	479.0
274	37.47657	649.047619048	358.0
225	53.68449	1076.77419355	575.0
139	48.32393	994.276315789	484.0
329	47.98003	897.842105263	465.0
349	45.63341	758.131147541	381.0
200	48.03093	933.168539326	516.0
239	38.02289	755.416666667	372.0
275	47.60508	997.381818182	436.0
381	42.25897	1169.61016949	474.0
199	42.74713	1066.68181818	500.0
235	41.95781	740.585365854	425.0
376	51.91794	868.542168675	466.0
240	38.71487	956.92	421.0
162	54.0038	1220.98591549	520.0
234	24.83314	415.333333333	246.0
357	48.79113	1110.15909091	541.0
379	44.62812	956.576923077	491.0
350	48.28637	829.333333333	404.0
438	42.65581	742.428571429	358.0
244	26.47236	428.947368421	225.0
326	47.89239	948.808219178	466.0
270	36.45726	935.048387097	429.0
101	42.7024	798.115384615	368.0
227	46.04032	941.48	468.0
377	37.13201	1043.43859649	439.0
436	40.7863	830.826086957	340.0
217	44.02878	986.554216867	526.0
196	43.69422	1047.04347826	505.0
252	41.23138	1071.55357143	461.0
284	38.06277	917.285714286	403.0
356	41.90298	905.933333333	457.0
206	34.40747	687.022222222	321.0
197	30.5953	857.8	376.0
337	41.61762	947.568965517	428.0
256	49.46321	1000.09782609	554.0
330	41.46045	842.545454545	408.0
372	30.84968	553.615384615	309.0
214	46.52416	1190.51388889	521.0
336	39.10226	633.515625	350.0
366	56.29979	1010.29591837	531.0
172	47.6522	1039.2173913	465.0
138	38.27829	757.957446809	343.0
