	PD_whole_tree	chao1	observed_otus
230	66.64761	1264.69178082	827.0
247	68.71303	1289.35416667	853.0
207	55.61766	1033.41441441	679.0
342	60.01593	965.085470085	636.0
333	69.91618	1511.44827586	919.0
265	70.55559	1368.01960784	917.0
364	63.75727	1389.99065421	752.0
355	59.39383	1080.25	704.0
220	54.88982	1174.00970874	715.0
341	60.67163	1193.38095238	736.0
272	50.45501	804.511627907	532.0
226	73.55946	1427.40740741	894.0
358	61.83644	1215.12195122	763.0
346	64.04295	1141.77966102	720.0
257	52.91902	1128.2295082	728.0
233	54.64068	997.007407407	730.0
392	56.96362	881.25	565.0
347	62.60614	1279.875	850.0
264	51.17498	970.672897196	616.0
221	54.59362	1004.8362069	701.0
383	66.53248	1212.76229508	732.0
223	58.8453	1085.28282828	662.0
283	62.34332	1111.45714286	690.0
213	40.77685	587.714285714	427.0
255	59.61427	1389.67567568	768.0
251	61.73214	1267.54032258	775.0
325	73.4589	1406.82802548	896.0
423	70.48781	1433.51807229	921.0
245	73.69956	1292.46666667	858.0
211	65.62951	1446.93650794	848.0
246	68.96514	1342.77777778	775.0
189	75.58493	1471.52027027	905.0
343	67.46357	1302.56666667	845.0
135	75.6462	1279.55063291	893.0
205	57.87185	1191.25735294	770.0
212	55.56542	927.10989011	604.0
147	65.31984	1172.34042553	792.0
378	62.09173	1200.52238806	788.0
266	72.95486	1444.68085106	890.0
248	59.08471	1139.10638298	768.0
384	60.0354	1164.68041237	693.0
222	65.19536	1130.61538462	800.0
254	60.15667	1297.95588235	854.0
258	52.79701	1101.99082569	696.0
348	59.44045	1115.88135593	723.0
369	68.65423	1234.62162162	836.0
353	77.38877	1394.55494505	967.0
218	61.26047	1090.224	748.0
362	70.87661	1359.17647059	871.0
396	51.58054	1069.53191489	654.0
279	63.02074	1231.8778626	820.0
324	63.42388	1152.02884615	715.0
203	62.22692	1277.4	856.0
382	68.90553	1326.90510949	834.0
338	70.34406	1297.79166667	839.0
276	60.54536	1070.968	754.0
267	59.42743	1173.54237288	741.0
198	66.8057	1352.11029412	869.0
344	63.25463	1233.92307692	801.0
354	55.03844	1078.27272727	715.0
394	46.71334	785.108108108	480.0
229	54.58589	1153.75925926	716.0
215	58.00122	1056.81538462	730.0
274	47.95275	796.787878788	549.0
225	70.97381	1340.96078431	902.0
139	65.96953	1334.6779661	784.0
329	63.81282	1247.09009009	761.0
349	60.28567	1121.41860465	624.0
200	61.03033	1125.2519084	762.0
239	52.90275	805.676470588	563.0
275	59.94102	1050.28440367	679.0
381	59.67758	1163.56692913	749.0
199	55.25433	1089.3	723.0
235	58.41067	1136.50980392	673.0
376	65.61739	1119.67256637	704.0
240	55.46451	1019.37837838	675.0
162	75.04814	1418.12269939	886.0
234	35.54584	729.117647059	399.0
357	65.89719	1319.87755102	858.0
379	62.45049	1210.28	776.0
350	61.02289	1160.36904762	630.0
438	56.88996	1003.4137931	586.0
244	38.57353	635.9	362.0
326	66.23578	1206.54477612	779.0
270	50.09719	995.882352941	651.0
101	59.34751	1262.6626506	640.0
227	59.11267	1070.32575758	726.0
377	53.66618	1065.57936508	712.0
436	56.26896	931.392156863	578.0
217	58.9324	1271.63636364	793.0
196	56.10222	1159.00854701	747.0
252	51.96029	1057.48387097	667.0
284	54.34355	1063.1010101	631.0
356	57.6879	1242.86666667	729.0
206	45.48707	742.900990099	513.0
197	40.92708	948.24137931	576.0
337	55.5724	1120.28865979	661.0
256	66.91082	1244.63909774	824.0
330	59.11523	1072.88983051	667.0
372	41.53385	829.569620253	502.0
214	61.92055	1319.81981982	779.0
336	55.28646	1046.45714286	625.0
366	74.17366	1304.79166667	846.0
172	64.90327	1179.47019868	775.0
138	54.2881	962.542168675	560.0
250	58.01795	1336.87368421	755.0
163	67.95187	1250.64	798.0
375	52.90388	1139.21052632	648.0
370	52.66174	1038.35643564	609.0
374	42.72764	801.48	489.0
340	50.94682	1024.03	625.0
216	59.74346	1145.87394958	774.0
154	64.60858	1128.03488372	791.0
219	59.78706	1305.28244275	812.0
334	48.98703	1050.88679245	639.0
367	47.85643	903.7	567.0
100	53.4223	1389.33333333	687.0
180	69.39785	1311.24489796	774.0
136	63.70883	1010.92241379	679.0
253	59.48201	1113.21804511	776.0
371	62.58746	1206.18248175	768.0
152	61.13551	1151.21212121	658.0
156	67.30011	1276.4	785.0
121	63.45652	1169.50925926	688.0
335	49.93766	880.134020619	541.0
127	70.68617	1418.5	855.0
145	73.06662	1354.62096774	813.0
107	68.11169	1293.08547009	780.0
111	60.0243	1215.77570093	674.0
361	39.8948	782.537313433	455.0
331	39.65519	910.25	452.0
236	30.5288	629.775510204	357.0
191	45.8036	912.513157895	516.0
435	35.81869	725.0	431.0
153	68.04024	1567.89215686	805.0
155	46.00022	921.6875	545.0
282	61.53718	1254.74137931	755.0
365	53.09886	988.887755102	596.0
148	62.03165	1193.81	677.0
157	63.60624	1251.45454545	712.0
123	66.62881	1199.02272727	765.0
151	56.37908	975.068965517	573.0
117	56.58482	1135.01010101	685.0
99	59.96427	1081.0	661.0
161	68.2718	1198.52409639	820.0
150	66.24764	1283.86466165	798.0
332	42.25462	765.425287356	501.0
132	52.28543	877.647058824	587.0
177	43.40697	783.494845361	512.0
389	40.70248	836.838709677	434.0
149	50.56058	981.04	556.0
597	64.38507	1310.93006993	854.0
861	42.7375	1026.44117647	731.0
864	43.18475	1033.57009346	738.0
599	54.42416	1209.24409449	742.0
811	61.97575	1390.15286624	907.0
771	57.44842	1117.50943396	645.0
875	48.84183	963.446428571	644.0
783	57.55475	1099.80555556	701.0
859	70.57746	1468.52238806	873.0
858	58.44985	1171.52586207	726.0
