	PD_whole_tree	chao1	observed_otus
230	77.34792	1946.41935484	1042.0
247	81.88737	2113.12280702	1121.0
207	64.86332	1603.38235294	890.0
342	71.21957	1375.64137931	817.0
333	83.97061	2358.22395833	1229.0
265	85.31486	2190.51442308	1247.0
364	76.15787	2003.66423358	961.0
355	68.88893	1466.66071429	897.0
220	65.42138	1802.18300654	977.0
341	71.72851	1882.08064516	908.0
272	57.53075	1276.82524272	694.0
226	85.07264	2312.98795181	1183.0
358	76.22279	1846.82467532	1004.0
346	77.55818	1800.71974522	974.0
257	60.92896	1717.63225806	951.0
233	63.16963	1645.57232704	970.0
392	64.32045	1189.9673913	666.0
347	77.13711	2134.01714286	1131.0
264	58.81159	1446.57246377	812.0
221	63.75916	1589.64	934.0
383	75.75815	1733.57462687	897.0
223	68.06572	1507.66666667	826.0
283	73.61317	1694.0	896.0
213	44.65844	831.0	540.0
255	69.41551	2042.41935484	950.0
251	72.29833	1947.00740741	978.0
325	86.92056	2158.18947368	1158.0
423	83.77592	2088.56756757	1213.0
245	86.89981	1924.16	1114.0
211	76.21919	2074.30612245	1051.0
246	79.00802	1951.50694444	978.0
189	89.04087	2295.42105263	1166.0
343	80.29316	1905.61290323	1088.0
135	91.15647	2110.51219512	1231.0
205	68.32425	2003.81595092	1047.0
212	64.50029	1411.17391304	785.0
147	79.25322	1982.32704403	1050.0
378	74.66376	1959.45	1093.0
266	86.75523	2280.08108108	1192.0
248	68.7658	1777.16766467	1003.0
384	73.20862	1848.17322835	924.0
222	76.76154	1880.05586592	1088.0
254	70.71559	2056.3	1129.0
258	65.09349	1702.73376623	950.0
348	70.78492	1830.85714286	954.0
369	82.97869	2050.86021505	1145.0
353	93.782	2352.90990991	1313.0
218	71.9308	1661.06451613	977.0
362	83.43057	2061.62352941	1101.0
396	60.36698	1514.10687023	852.0
279	75.37886	1999.95930233	1119.0
324	76.11465	1773.9787234	945.0
203	74.01615	1977.3038674	1131.0
382	81.11865	2088.59036145	1091.0
338	82.06584	2099.91666667	1097.0
276	71.92817	1682.33333333	1024.0
267	72.4346	1841.90322581	988.0
198	78.79717	2134.04458599	1112.0
344	76.34891	2165.36809816	1103.0
354	66.57867	1675.78212291	1001.0
394	51.77903	1088.72043011	600.0
