	PD_whole_tree	chao1	observed_otus
230	61.82695	1107.33018868	701.0
247	62.18149	991.114754098	713.0
207	51.74544	824.159090909	570.0
342	54.10387	708.583333333	528.0
333	62.34053	1139.11607143	744.0
265	63.2274	1049.368	761.0
364	56.23449	979.029411765	623.0
355	52.12429	782.0	575.0
220	46.78108	799.651685393	567.0
341	55.48545	985.896907216	628.0
272	46.37436	680.818181818	458.0
226	66.64097	1070.5	739.0
358	55.11376	843.140186916	618.0
346	57.84911	962.75862069	605.0
257	46.39406	891.585365854	587.0
233	47.90205	728.972222222	588.0
392	52.61215	747.661290323	482.0
347	52.94474	876.970149254	677.0
264	45.32755	766.909090909	498.0
221	50.4844	828.93877551	592.0
383	58.78424	874.260416667	578.0
223	53.84117	796.636363636	552.0
283	56.08673	842.905263158	580.0
213	38.29721	487.25	377.0
255	54.78339	1060.7	656.0
251	53.62895	918.696969697	629.0
325	64.39631	1069.38135593	724.0
423	60.92211	1144.46846847	735.0
245	68.25074	1014.67567568	716.0
211	59.4559	988.319327731	701.0
246	63.84484	989.528301887	652.0
189	67.17105	1070.61290323	735.0
343	60.99925	936.338345865	689.0
135	66.60109	923.254098361	713.0
205	52.33444	899.532110092	632.0
212	50.94784	700.917647059	505.0
147	58.78159	978.123809524	650.0
378	53.12662	835.025641026	631.0
266	64.11031	1106.73267327	720.0
248	52.68517	876.052173913	639.0
384	51.72423	774.473684211	565.0
222	58.30675	876.474137931	665.0
254	52.99563	931.242718447	680.0
258	48.38937	796.825	538.0
348	52.14468	873.514563107	602.0
369	60.53893	937.083333333	688.0
353	68.62158	1079.14189189	796.0
218	56.12295	875.391304348	623.0
362	62.66661	1003.41176471	705.0
396	47.40074	762.494505495	546.0
279	54.57282	918.247706422	666.0
324	59.72221	905.571428571	606.0
203	56.71916	995.632075472	702.0
382	60.18173	957.36	688.0
338	63.13958	1068.0	696.0
276	52.38135	827.908045977	606.0
267	54.32669	860.008547009	629.0
198	60.27613	986.368852459	723.0
344	53.463	874.862745098	630.0
354	46.59046	755.722222222	564.0
394	43.11596	580.128205128	415.0
229	49.58161	903.166666667	608.0
215	53.75935	952.370786517	622.0
274	44.34468	643.987341772	460.0
225	64.97951	1034.73553719	750.0
139	57.75134	851.008928571	624.0
329	59.02009	941.106382979	636.0
349	54.7274	848.890625	506.0
200	55.6027	904.138888889	643.0
239	49.70318	693.395604396	494.0
275	55.55614	808.009259259	595.0
381	52.04164	844.053571429	613.0
199	48.29282	847.655172414	593.0
235	53.84838	914.153846154	583.0
376	58.34365	797.8	569.0
240	50.36407	764.009708738	561.0
162	66.03729	1060.21804511	723.0
234	32.83124	477.344262295	342.0
357	57.8633	993.286956522	705.0
379	51.80444	802.141509434	601.0
350	55.54498	889.753424658	529.0
438	52.33128	819.526315789	514.0
244	34.4502	459.0	289.0
326	59.07151	908.065420561	631.0
270	44.43138	863.530120482	549.0
101	54.38866	937.220779221	533.0
227	54.19422	858.811111111	596.0
377	45.95716	814.461538462	571.0
436	51.0773	756.517241379	497.0
217	51.24328	914.835294118	634.0
196	49.13129	785.742857143	600.0
252	47.71323	802.708333333	540.0
284	47.35313	761.012195122	501.0
356	50.29427	839.76	590.0
206	42.27133	624.337349398	443.0
197	35.92464	623.235955056	458.0
337	48.12648	755.968085106	540.0
256	60.15005	945.363636364	670.0
330	52.0488	871.164835165	556.0
372	36.71275	594.043478261	412.0
214	55.50149	931.125	639.0
336	52.77621	1020.7	560.0
366	67.14402	977.0	714.0
172	56.72497	902.442477876	627.0
138	50.0578	750.373333333	477.0
250	51.40726	897.865979381	624.0
163	59.95785	952.411764706	654.0
375	47.8585	890.662650602	548.0
370	46.52255	882.194805195	519.0
374	38.04965	601.75	403.0
340	45.15987	741.46875	530.0
216	51.72931	835.879120879	615.0
154	57.77414	918.0078125	659.0
219	53.90874	990.583333333	674.0
334	42.39398	717.847826087	508.0
367	43.564	762.666666667	484.0
100	46.96772	942.7625	563.0
180	62.74415	945.75	647.0
136	56.87907	785.071428571	559.0
253	51.4756	776.285714286	595.0
371	56.6584	1034.61111111	643.0
152	56.16005	814.0	534.0
156	60.1129	944.389380531	651.0
121	57.35916	941.113402062	594.0
335	45.18646	750.0	464.0
127	63.0191	1025.71794872	699.0
145	66.9702	1039.1010101	675.0
107	60.48074	918.594059406	637.0
111	54.77395	935.909090909	565.0
361	36.6777	563.892307692	385.0
331	32.91567	645.87804878	351.0
236	29.20077	481.466666667	312.0
191	40.91405	649.613333333	430.0
435	33.05449	578.137931034	367.0
153	62.9083	1195.48314607	678.0
155	40.31826	656.985915493	445.0
282	55.17377	954.153061224	634.0
365	47.01535	734.613333333	485.0
148	56.23137	900.125	566.0
157	56.75826	920.677419355	586.0
123	58.64343	871.65	606.0
151	50.68338	706.625	485.0
117	50.17795	829.3125	555.0
99	54.54231	778.512820513	531.0
161	61.23327	978.040322581	683.0
150	59.12667	994.774509804	657.0
332	38.82802	633.225806452	415.0
132	47.96751	681.238636364	492.0
177	38.83312	570.074074074	415.0
389	37.90548	713.018181818	390.0
149	46.19524	762.588235294	467.0
597	56.43065	1024.78350515	683.0
861	35.56894	718.592105263	547.0
864	35.75969	770.985915493	559.0
599	48.61991	902.891304348	578.0
811	53.59521	1055.59615385	709.0
771	50.83592	946.692307692	538.0
875	42.75984	760.43902439	525.0
783	52.35683	812.78021978	567.0
859	62.90703	1119.1875	732.0
858	53.27047	918.559139785	605.0
876	52.65829	895.774193548	577.0
848	64.69018	1090.94354839	753.0
852	49.09924	821.511111111	544.0
773	66.34767	1136.64102564	743.0
839	54.05686	977.52	687.0
822	58.50317	1071.925	713.0
832	57.64835	1045.0	690.0
819	69.0234	1142.83333333	823.0
816	70.17295	1139.24489796	828.0
728	56.61893	1109.56122449	679.0
841	50.37811	947.53	616.0
775	46.20747	847.814814815	517.0
756	54.03211	848.12345679	572.0
843	64.44993	1015.66666667	696.0
867	58.98008	974.025477707	741.0
851	65.99462	1054.20588235	767.0
784	41.3474	747.575	468.0
873	47.39662	954.127659574	615.0
804	53.25678	891.212121212	642.0
821	44.72798	810.484536082	553.0
779	62.37252	1080.77952756	737.0
836	55.34663	924.074626866	647.0
754	56.93486	1007.75	659.0
826	58.12842	1158.05454545	717.0
716	57.66858	904.8	630.0
751	59.56175	921.358974359	638.0
818	66.87034	1094.86330935	785.0
758	57.50722	855.758333333	642.0
838	52.07667	979.879120879	624.0
883	65.12475	1069.88235294	766.0
778	47.80945	869.78021978	544.0
