	PD_whole_tree	chao1	observed_otus
230	83.97925	2290.05847953	1157.0
247	85.81715	2330.84745763	1190.0
207	67.78857	1837.28571429	975.0
342	75.27583	1554.53947368	881.0
333	89.37465	2767.8622449	1331.0
265	89.3359	2634.75	1359.0
364	79.83747	2288.08333333	1036.0
355	72.40181	1687.35031847	949.0
220	67.50903	1899.69767442	1041.0
341	74.93906	2059.07462687	969.0
272	60.82387	1588.45454545	758.0
226	90.54556	2765.75147929	1289.0
358	79.13046	2020.55882353	1080.0
346	82.08295	2146.84177215	1062.0
257	63.39	2011.22147651	1009.0
233	67.61342	1808.39779006	1060.0
392	64.61791	1243.10638298	683.0
347	81.72131	2373.87692308	1228.0
264	62.76517	1659.91366906	867.0
221	66.64157	1842.92105263	1009.0
383	80.30852	1912.66666667	963.0
223	69.90118	1658.13953488	875.0
283	77.03537	1822.79310345	959.0
213	47.34071	915.333333333	567.0
255	72.56703	2209.77941176	1009.0
251	76.62831	2075.97315436	1033.0
325	91.33426	2638.00574713	1240.0
423	88.27176	2488.08219178	1316.0
245	90.23907	2091.40957447	1189.0
211	78.05796	2021.44827586	1096.0
246	83.19875	2278.62328767	1056.0
189	94.52357	2730.75147929	1254.0
343	84.60363	2166.33333333	1172.0
135	96.08876	2535.69230769	1346.0
205	74.68998	2300.11666667	1157.0
212	68.25754	1594.48695652	833.0
147	82.92817	2261.59146341	1129.0
378	80.22565	2389.96721311	1198.0
266	91.28585	2586.68205128	1285.0
248	73.07478	2091.59659091	1101.0
384	77.45603	2088.15671642	990.0
222	81.92748	2228.33870968	1190.0
254	75.75188	2302.82258065	1224.0
258	68.05392	1958.90566038	1030.0
348	74.4178	2056.00653595	1033.0
369	85.4344	2240.87046632	1211.0
353	98.12514	2628.90254237	1410.0
218	77.79709	1922.05882353	1066.0
362	87.24003	2142.57142857	1173.0
396	64.65557	1885.02459016	919.0
279	79.22162	2248.05291005	1213.0
324	78.48763	1894.18181818	1001.0
203	78.18663	2308.37430168	1212.0
382	84.58566	2392.21264368	1180.0
338	83.54358	2373.44578313	1157.0
276	74.56981	1912.55617978	1098.0
267	76.00015	2200.52348993	1058.0
198	82.03055	2329.78698225	1187.0
344	80.59746	2337.56741573	1178.0
354	70.45591	1911.57978723	1082.0
394	51.26399	1098.2371134	614.0
229	67.05355	2011.83333333	996.0
215	71.0147	1883.85	1011.0
274	60.77806	1513.36585366	798.0
225	86.64711	2213.03448276	1237.0
139	83.61696	2142.76744186	1098.0
329	78.58249	2019.33333333	1054.0
349	76.78131	2122.90265487	901.0
200	78.11425	1962.95477387	1125.0
239	62.69739	1398.65	773.0
275	71.13112	1571.51079137	883.0
381	74.5645	1950.39779006	1067.0
199	69.22935	2061.5	1061.0
235	68.31461	1886.23529412	904.0
376	85.1021	1992.97916667	1001.0
240	66.95251	1748.80645161	960.0
162	91.78171	2337.69607843	1216.0
234	44.23804	1129.01351351	543.0
357	84.87803	2404.48913043	1219.0
379	77.96494	2164.46067416	1138.0
