	PD_whole_tree	chao1	observed_otus
230	72.72368	1650.56578947	953.0
247	74.93129	1675.56410256	987.0
207	60.45718	1346.70542636	806.0
342	65.71016	1166.59090909	730.0
333	77.50198	2065.81927711	1106.0
265	80.55351	1813.03157895	1111.0
364	70.6643	1657.96946565	873.0
355	64.01907	1303.28467153	805.0
220	61.49353	1474.7	867.0
341	65.27701	1675.9375	837.0
272	54.42468	1013.875	622.0
226	80.55732	1934.04109589	1052.0
358	69.83619	1533.19310345	903.0
346	72.73679	1538.26086957	873.0
257	57.22856	1513.27205882	857.0
233	60.1303	1336.13636364	871.0
392	60.15894	1037.12345679	602.0
347	72.50538	1746.62359551	1026.0
264	55.30566	1207.41732283	732.0
221	57.35566	1348.2	840.0
383	72.81368	1624.32231405	837.0
223	63.91346	1277.5	754.0
283	69.18967	1338.85714286	800.0
213	42.87719	787.418181818	501.0
255	64.83186	1724.1440678	868.0
251	68.37671	1558.04411765	883.0
325	80.27199	1792.70689655	1035.0
423	77.713	1920.37288136	1089.0
245	82.13548	1575.14917127	1017.0
211	73.27603	1723.00613497	994.0
246	76.28326	1664.8057554	902.0
189	82.337	1870.29090909	1043.0
343	75.69221	1589.28191489	993.0
135	85.04606	1692.5	1085.0
205	66.0103	1769.06944444	954.0
212	61.19931	1059.7295082	697.0
147	74.93898	1716.43918919	959.0
378	70.53251	1695.00621118	975.0
266	79.32307	1850.82352941	1054.0
248	64.91681	1471.42168675	908.0
384	67.46138	1469.63636364	820.0
222	72.03539	1638.23529412	975.0
254	66.34919	1706.23668639	1026.0
258	59.07997	1336.63909774	815.0
348	65.75759	1493.54347826	862.0
369	76.94966	1751.01863354	1019.0
353	87.12055	1934.22169811	1180.0
218	68.71058	1470.34751773	893.0
362	77.65428	1594.27932961	989.0
396	57.52375	1304.19642857	762.0
279	68.47764	1553.89156627	980.0
324	69.20333	1410.72222222	821.0
203	68.57652	1713.64457831	1024.0
382	76.76151	1748.12883436	995.0
338	77.79882	1892.3877551	999.0
276	68.08078	1400.10738255	904.0
267	65.81891	1442.95918367	867.0
198	74.17343	1757.75	1014.0
344	69.6726	1615.43712575	975.0
354	62.5004	1384.50617284	882.0
394	48.53402	914.617977528	545.0
229	60.58641	1494.11538462	846.0
215	64.00598	1469.89285714	871.0
274	54.04411	1024.7295082	662.0
225	76.88235	1674.8	1045.0
139	73.03836	1614.82758621	915.0
329	70.35478	1554.15748031	881.0
349	67.40683	1388.77777778	736.0
200	68.32848	1507.11042945	928.0
239	59.39866	1113.61111111	673.0
275	65.49732	1293.71428571	778.0
381	64.49785	1428.44805195	884.0
199	61.10292	1400.12162162	869.0
235	63.21216	1520.34579439	782.0
376	74.07723	1480.248	829.0
240	59.31039	1298.96992481	794.0
162	82.33792	1867.41176471	1024.0
234	39.84462	919.590163934	465.0
357	72.97773	1660.74431818	1013.0
379	67.88016	1538.78980892	932.0
350	68.92981	1495.39090909	759.0
438	61.03661	1227.76086957	659.0
244	42.25127	723.046153846	423.0
326	73.01936	1657.2238806	910.0
270	54.40785	1315.55970149	781.0
101	65.92786	1542.03030303	740.0
227	65.36359	1547.34146341	859.0
377	58.16647	1453.04379562	847.0
436	60.65793	1177.76470588	652.0
217	66.16394	1884.22580645	984.0
196	62.57127	1390.59259259	898.0
252	58.45689	1308.73387097	802.0
284	59.76869	1296.12605042	744.0
356	63.8376	1507.27692308	856.0
206	51.0529	1004.84466019	598.0
197	47.01971	1158.69026549	687.0
337	60.36117	1274.96992481	770.0
256	73.67896	1584.02702703	955.0
330	65.04658	1381.33333333	770.0
372	45.35857	1065.83529412	583.0
214	67.14872	1795.42857143	949.0
336	61.82416	1404.81896552	734.0
366	80.29976	1616.59763314	981.0
172	73.01746	1738.80405405	926.0
138	58.78385	1205.70114943	630.0
250	63.73117	1621.85714286	883.0
163	74.13829	1765.85106383	930.0
375	59.61098	1532.4	789.0
370	58.91308	1451.125	718.0
374	48.37575	1001.81111111	574.0
340	55.76304	1267.00826446	727.0
216	64.32277	1453.68613139	900.0
154	70.45359	1497.94413408	926.0
219	67.20719	1697.18181818	960.0
334	53.5581	1281.35433071	738.0
367	52.99456	1270.20588235	668.0
100	58.45941	1640.84210526	809.0
180	78.98485	1614.73913043	937.0
136	72.09635	1277.00621118	853.0
253	66.84493	1560.36305732	948.0
371	68.6775	1680.78571429	879.0
152	68.89982	1466.30508475	773.0
156	74.56981	1631.92517007	920.0
121	69.67764	1489.71428571	792.0
335	55.04807	1175.49484536	626.0
127	76.32366	1691.62962963	982.0
145	81.4956	1667.09803922	962.0
107	74.21192	1566.55555556	896.0
111	66.78274	1481.27586207	762.0
361	44.98693	1022.91666667	526.0
331	41.01672	1157.31034483	503.0
236	34.00699	816.283018868	414.0
191	50.95471	1216.03896104	590.0
435	40.48636	949.263888889	503.0
153	77.4014	2022.53225806	951.0
155	51.57445	1220.46875	655.0
282	67.20814	1556.50684932	895.0
365	58.84787	1401.11363636	679.0
148	69.61493	1719.0	825.0
157	70.45684	1530.6	841.0
123	73.75885	1465.44375	897.0
151	60.28031	1238.15306122	657.0
117	65.59647	1459.65354331	825.0
99	69.37372	1300.17322835	797.0
161	74.3102	1550.61111111	927.0
150	73.40307	1700.16447368	947.0
332	49.0837	1046.0	616.0
132	59.15415	1144.90756303	697.0
177	47.30033	896.130434783	578.0
389	42.51362	890.936708861	481.0
149	56.18423	1187.53333333	645.0
597	72.18007	1727.50549451	1053.0
861	51.15994	1520.0	995.0
864	49.61642	1456.0974026	961.0
599	61.11385	1619.0	920.0
