	PD_whole_tree	chao1	observed_otus
230	59.12941	868.025641026	639.0
247	58.87773	816.518867925	625.0
207	48.35139	673.11627907	510.0
342	50.91954	677.409090909	484.0
333	58.82151	941.192982456	679.0
265	58.15857	867.826086957	677.0
364	52.73581	924.690140845	557.0
355	49.54655	682.762886598	524.0
220	46.79953	726.511363636	531.0
341	52.88384	849.333333333	581.0
272	44.29329	559.692307692	410.0
226	62.81284	897.866666667	660.0
358	52.52911	752.10989011	561.0
346	53.6138	749.325301205	533.0
257	44.80895	775.75	529.0
233	46.59287	661.70212766	538.0
392	50.25325	608.52173913	453.0
347	51.31718	822.491071429	619.0
264	42.90254	657.652173913	447.0
221	48.07384	692.129032258	534.0
383	54.35099	780.375	531.0
223	52.63949	764.178082192	513.0
283	52.85308	782.181818182	534.0
213	37.83644	443.676470588	346.0
255	51.23495	1001.22077922	597.0
251	51.46608	814.873417722	568.0
325	60.7798	853.976377953	652.0
423	56.77153	908.128205128	663.0
245	63.23987	855.029411765	646.0
211	56.51598	882.676470588	640.0
246	60.68749	839.862745098	595.0
189	65.27604	989.454545455	681.0
343	57.56715	813.702702703	616.0
135	62.8561	827.031578947	632.0
205	49.74919	758.342857143	565.0
212	49.10729	621.133333333	462.0
147	54.68605	810.613636364	573.0
378	50.65621	754.66	577.0
266	60.36994	880.194444444	651.0
248	51.0076	763.098039216	568.0
384	49.67658	672.153846154	518.0
222	55.75155	830.0	627.0
254	50.36291	755.51	605.0
258	45.37272	712.0	492.0
348	49.95258	760.102040816	555.0
369	55.46802	818.264150943	621.0
353	63.29198	889.464788732	712.0
218	54.53625	788.717391304	581.0
362	57.85	805.021126761	649.0
396	45.58345	671.696202532	492.0
279	51.27581	749.634615385	593.0
324	54.96753	762.597826087	557.0
203	54.65587	850.367346939	637.0
382	58.85613	893.306930693	628.0
338	59.33833	925.176470588	644.0
276	52.70442	693.066666667	557.0
267	51.12882	837.75	574.0
198	56.4675	860.36	643.0
344	50.89991	774.395348837	570.0
354	44.12872	658.011111111	504.0
394	40.92955	574.454545455	382.0
229	44.87049	768.897058824	524.0
215	49.19219	780.655172414	561.0
274	42.68726	591.96875	422.0
225	61.65131	926.676470588	684.0
139	55.34139	781.216494845	574.0
329	53.94769	796.081395349	567.0
