	PD_whole_tree	chao1	observed_otus
230	57.86855	820.009433962	605.0
247	56.72063	770.371134021	593.0
207	46.41622	651.690140845	477.0
342	50.53693	706.101265823	474.0
333	56.72318	991.012658228	640.0
265	56.00452	774.632075472	631.0
364	49.54145	693.065217391	516.0
355	47.72402	643.125	492.0
220	44.2444	625.131578947	482.0
341	50.79561	808.761904762	550.0
272	42.65907	514.418181818	378.0
226	61.03943	899.032258065	640.0
358	49.39426	686.054054054	512.0
346	52.61319	675.011627907	506.0
257	43.38638	754.347826087	513.0
233	45.11701	598.585106383	508.0
392	50.35657	592.217391304	443.0
347	49.08137	731.103773585	574.0
264	42.3094	628.123076923	425.0
221	46.98569	688.035714286	515.0
383	53.9885	745.328947368	499.0
223	48.91789	688.153846154	480.0
283	53.05682	717.5	504.0
213	36.31324	405.875	326.0
255	49.32254	797.636363636	553.0
251	50.76362	698.611111111	539.0
325	58.05019	786.1	607.0
423	54.89089	815.731092437	626.0
245	61.17436	781.673469388	608.0
211	55.84159	859.875	618.0
246	59.56319	809.835294118	559.0
189	62.67232	882.76	633.0
343	54.8237	740.066037736	576.0
135	61.95886	794.065934066	605.0
205	48.20182	749.235294118	538.0
212	47.7185	586.308823529	437.0
147	52.57451	733.108695652	540.0
378	47.73165	653.643564356	537.0
266	59.70891	885.844660194	639.0
248	49.66547	764.441558442	541.0
384	48.95146	665.269230769	496.0
222	53.43299	808.961538462	586.0
254	49.28236	688.25	575.0
258	45.71721	729.109090909	471.0
348	48.33059	692.22826087	521.0
369	53.50885	753.019230769	584.0
353	60.42866	841.258928571	660.0
218	51.75618	710.034482759	541.0
362	56.12821	784.283018868	604.0
396	45.75178	714.75	491.0
279	49.74919	747.795180723	558.0
324	55.11022	735.045977011	533.0
203	52.1457	760.011363636	587.0
382	56.24811	761.471153846	587.0
338	58.00929	892.240963855	602.0
276	49.90933	696.838709677	519.0
267	49.13568	752.725	533.0
198	54.13791	784.031914894	601.0
344	48.10063	724.518987342	534.0
354	43.9414	603.247191011	476.0
394	40.39715	517.6	358.0
229	41.8069	663.3125	484.0
215	47.97503	707.066666667	534.0
274	41.43553	526.09375	391.0
225	59.70029	802.5	645.0
139	53.45183	767.571428571	547.0
329	53.06205	731.054054054	530.0
349	49.22399	602.383561644	441.0
200	49.76162	771.235294118	560.0
239	46.8441	615.265822785	444.0
275	51.22302	690.5625	511.0
381	47.37681	704.065934066	529.0
199	44.64106	700.916666667	513.0
235	48.85617	763.8	509.0
376	54.08577	727.246153846	501.0
240	45.24981	605.779069767	467.0
162	57.90808	819.391304348	608.0
234	30.74046	428.56	302.0
357	52.48058	732.651785714	592.0
379	46.34336	654.295774648	499.0
350	49.94096	720.516666667	455.0
438	48.68798	656.452054795	455.0
244	33.95374	413.583333333	259.0
326	53.87814	697.117021277	537.0
270	39.3636	604.785714286	459.0
101	49.1789	690.285714286	472.0
227	51.38109	730.428571429	530.0
377	42.0491	615.276315789	476.0
436	47.9285	671.470588235	458.0
217	46.5053	730.590909091	533.0
196	45.07972	638.3125	506.0
252	43.69816	608.430769231	463.0
284	44.75958	635.838235294	432.0
356	47.01227	814.238095238	514.0
206	39.10226	531.283783784	396.0
197	31.42876	522.773584906	367.0
337	43.86036	632.368421053	465.0
256	55.04975	765.795180723	576.0
330	47.6255	683.6	479.0
372	34.72636	585.7	374.0
214	51.29056	826.130434783	552.0
336	47.34854	768.337837838	483.0
366	60.99896	867.581632653	624.0
