	PD_whole_tree	chao1	observed_otus
230	60.02619	911.387931034	660.0
247	60.69486	875.088495575	658.0
207	48.61002	755.506329114	533.0
342	52.50834	678.454545455	499.0
333	58.88737	1012.00925926	693.0
265	58.90029	877.81147541	691.0
364	53.12748	855.891089109	579.0
355	50.54676	727.031914894	544.0
220	47.68906	765.614457831	547.0
341	54.08211	920.846153846	607.0
272	45.16956	587.205479452	430.0
226	63.10356	1088.83333333	688.0
358	53.85617	806.087912088	583.0
346	55.35884	846.548780488	566.0
257	44.82839	869.541666667	553.0
233	46.55555	710.153846154	556.0
392	52.01447	682.085714286	472.0
347	53.36409	869.0	640.0
264	42.31148	653.838235294	450.0
221	47.79311	753.220930233	551.0
383	56.0762	837.709677419	557.0
223	52.76711	745.280487805	524.0
283	55.34176	777.345679012	539.0
213	37.81444	452.142857143	361.0
255	52.30203	1004.47916667	629.0
251	52.57913	810.45	591.0
325	61.09437	953.954545455	671.0
423	58.74503	962.991735537	689.0
245	65.37928	945.866666667	675.0
211	57.27041	996.96	668.0
246	60.12054	847.504587156	608.0
189	65.66974	1015.39252336	686.0
343	58.88781	987.78021978	643.0
135	64.02655	835.3	658.0
205	50.70053	828.157894737	586.0
212	48.98504	609.083333333	458.0
147	56.20255	813.057692308	598.0
378	50.9113	769.613207547	593.0
266	62.23389	938.777777778	671.0
248	52.12239	851.660194175	607.0
384	51.77867	678.126213592	532.0
222	57.11125	830.026315789	643.0
254	51.708	899.073170732	634.0
258	46.81967	793.0	508.0
348	50.70308	821.365591398	574.0
369	57.07927	834.474137931	638.0
353	66.14446	1026.3515625	751.0
218	55.08583	836.636363636	592.0
362	60.79245	994.842105263	688.0
396	46.32494	715.517241379	522.0
279	52.79208	853.691489362	618.0
324	57.47426	829.174418605	574.0
203	55.26905	855.805309735	656.0
382	60.02956	951.884615385	655.0
338	59.8983	898.236363636	644.0
276	52.58609	725.325581395	568.0
267	50.89409	806.277227723	589.0
198	57.36473	886.201923077	665.0
344	50.29517	762.157894737	583.0
354	45.32161	728.060240964	523.0
394	41.90016	562.406779661	383.0
229	45.89282	786.263157895	545.0
215	50.62253	765.030612245	574.0
274	43.31032	620.924242424	433.0
225	61.998	941.229508197	712.0
139	56.73097	826.532608696	588.0
329	55.47016	827.857142857	589.0
349	53.08229	771.245901639	480.0
200	53.25825	884.461538462	610.0
239	49.00204	668.0	468.0
275	52.40981	760.470588235	547.0
381	50.75782	828.816326531	583.0
199	46.59315	729.346534653	559.0
235	51.35873	805.611111111	550.0
376	56.95165	744.494505495	543.0
240	47.44688	713.413793103	522.0
162	62.00947	959.203389831	665.0
234	32.46193	497.517857143	336.0
357	56.26099	868.41322314	662.0
379	50.04818	717.217821782	563.0
350	54.0877	785.263157895	502.0
438	50.39298	811.149253731	496.0
244	34.38443	521.096774194	283.0
326	57.21079	761.151515152	574.0
270	42.74334	721.365853659	507.0
101	52.83962	768.518518519	495.0
227	51.988	786.386363636	567.0
377	43.28663	696.387096774	527.0
436	50.25206	736.744186047	484.0
217	48.92033	789.909090909	576.0
196	47.29425	727.0	550.0
252	45.32622	670.068493151	498.0
284	48.29838	709.12345679	478.0
356	49.27795	809.285714286	553.0
206	40.2989	555.265060241	417.0
197	35.43943	630.918032787	425.0
337	47.42314	715.225806452	516.0
256	58.32637	860.032967033	628.0
330	50.01052	769.694736842	523.0
372	35.52769	592.944444444	386.0
214	51.77466	829.93258427	581.0
336	49.83072	791.054347826	522.0
366	64.94011	923.67826087	668.0
172	55.5948	814.0	591.0
