	PD_whole_tree	chao1	observed_otus
230	85.07994	2266.1978022	1181.0
247	85.83478	2345.52	1188.0
207	68.82941	1937.63636364	994.0
342	76.2184	1543.01863354	893.0
333	91.5065	2761.70319635	1378.0
265	90.25116	2629.53881279	1381.0
364	81.27378	2466.62068966	1074.0
355	73.84682	1810.96815287	981.0
220	68.81265	1926.20454545	1059.0
341	76.28677	2102.58208955	980.0
272	61.55174	1448.38333333	770.0
226	90.71902	2641.6	1304.0
358	80.41971	2088.32163743	1103.0
346	84.03963	2192.76704545	1106.0
257	64.32159	2115.84313725	1041.0
233	68.72346	1904.00546448	1085.0
392	65.70008	1342.52325581	692.0
347	83.07629	2464.89	1266.0
264	64.55182	1729.97916667	898.0
221	66.68438	1837.18292683	1027.0
383	80.73095	2052.21276596	997.0
223	71.46581	1861.12711864	895.0
283	76.68548	1876.22142857	960.0
213	47.44537	924.951612903	571.0
255	72.83905	2328.2734375	1021.0
251	77.61905	2148.56493506	1062.0
325	92.09363	2627.75555556	1253.0
423	90.46097	2520.2112069	1348.0
245	91.78955	2276.69430052	1237.0
211	80.46192	2269.47337278	1145.0
246	84.00965	2255.09615385	1080.0
189	95.1059	2673.36756757	1282.0
343	86.4379	2353.57894737	1209.0
135	98.268	2582.09210526	1399.0
205	75.79407	2442.78212291	1187.0
212	69.59782	1727.70833333	867.0
147	85.10961	2354.12	1171.0
378	81.52351	2353.85279188	1223.0
266	92.72278	2682.57216495	1311.0
248	73.70029	2171.51123596	1128.0
384	78.62406	2129.0	1015.0
222	83.49962	2347.62702703	1218.0
254	75.53086	2359.97894737	1243.0
258	68.40168	2052.92307692	1046.0
348	75.74402	2068.62424242	1058.0
369	88.16974	2480.38743455	1261.0
353	100.91644	2748.45228216	1452.0
218	78.44104	1941.86046512	1080.0
362	89.73163	2414.28125	1226.0
396	65.55576	1806.0	918.0
279	79.90337	2261.5	1232.0
324	79.61208	1966.01948052	1014.0
203	79.11286	2310.09574468	1236.0
382	87.01323	2545.0	1203.0
338	87.19564	2455.68786127	1191.0
276	75.8563	2087.41954023	1139.0
267	77.39403	2314.09933775	1084.0
198	83.61219	2565.19496855	1214.0
344	81.57183	2543.00595238	1205.0
354	70.57656	1966.07936508	1099.0
394	53.98158	1302.87640449	640.0
229	67.68735	2047.86956522	1005.0
215	71.50737	1989.63694268	1035.0
274	61.43567	1611.8907563	815.0
225	87.91693	2403.6185567	1269.0
139	86.07853	2381.10588235	1148.0
329	79.59828	2180.70945946	1085.0
349	78.55955	2048.12195122	917.0
200	78.62902	2192.1576087	1156.0
239	64.76412	1473.87096774	801.0
275	71.43485	1594.94029851	884.0
381	75.46159	1981.64171123	1093.0
199	71.71225	2178.60606061	1104.0
235	68.72418	1815.125	917.0
376	83.6502	2094.20143885	1012.0
240	67.73033	1731.59146341	977.0
162	92.10824	2290.51388889	1228.0
234	43.78933	1208.0	542.0
357	86.61815	2544.79255319	1262.0
379	78.51588	2273.63535912	1172.0
350	78.692	2094.02521008	916.0
438	67.59886	1652.03333333	752.0
244	45.65746	915.220779221	511.0
326	85.62252	2439.87741935	1133.0
270	61.43961	1739.84313725	931.0
101	71.71633	1764.30252101	846.0
227	75.94072	2042.48076923	1057.0
377	69.18252	1951.28070175	1049.0
436	65.10446	1357.76229508	736.0
217	75.5664	2359.29069767	1211.0
196	75.25113	2019.32835821	1149.0
252	66.58446	1892.35416667	991.0
284	67.98833	1787.40559441	922.0
356	73.94113	2359.69230769	1082.0
206	58.82539	1510.4368932	724.0
197	53.93145	1421.88535032	848.0
337	68.70956	1891.37671233	960.0
256	84.54761	2308.2259887	1203.0
330	71.65959	1674.0794702	900.0
372	54.03865	1538.36734694	720.0
214	76.76272	2482.35483871	1159.0
336	69.02595	1988.63157895	859.0
366	89.42728	2200.76923077	1160.0
172	80.90677	1994.02139037	1068.0
138	64.74253	1491.06315789	717.0
250	71.39704	2121.74683544	1070.0
163	85.6279	2388.50595238	1133.0
375	68.70607	2135.23880597	963.0
370	65.85798	1848.81034483	837.0
374	55.53559	1460.84466019	713.0
340	63.05396	1688.61832061	858.0
216	73.98921	2180.03773585	1124.0
154	80.30292	2021.2284264	1106.0
219	76.40964	2253.9726776	1154.0
334	60.39241	1653.53061224	878.0
367	60.22048	1571.52380952	791.0
100	65.94855	2084.48888889	958.0
180	93.01733	2320.94413408	1207.0
136	85.15239	1849.00483092	1109.0
253	76.56416	2302.47486034	1185.0
371	80.38895	2472.39041096	1098.0
152	80.63563	2096.32608696	954.0
156	84.2617	2291.20253165	1104.0
121	77.80209	1967.87943262	951.0
335	62.57337	1625.48672566	763.0
127	87.22488	2346.80434783	1204.0
145	93.81659	2477.75	1214.0
107	85.87159	2189.32450331	1085.0
111	76.42784	2112.81538462	943.0
361	51.27038	1456.64383562	620.0
331	46.50401	1400.04	595.0
236	37.92058	912.161764706	469.0
191	56.10996	1574.4673913	694.0
435	43.90836	1097.81818182	571.0
153	88.4389	2623.8525641	1170.0
155	58.69906	1646.26666667	776.0
282	77.48923	2169.23602484	1079.0
365	65.17129	1661.1440678	805.0
148	78.30049	2228.82089552	993.0
157	81.48912	2088.38157895	1014.0
123	82.698	2049.75690608	1106.0
151	70.23853	1817.80952381	808.0
117	75.135	2047.00653595	1024.0
99	80.58794	2060.78145695	1050.0
161	85.99488	2063.04926108	1136.0
150	86.44988	2288.44444444	1169.0
332	57.13587	1418.13953488	765.0
132	65.38284	1549.51181102	830.0
