	PD_whole_tree	chao1	observed_otus
230	102.35768	3235.09722222	1481.0
247	97.59115	3253.19354839	1408.0
207	80.09929	2411.72527473	1184.0
342	86.16979	2122.58823529	1062.0
333	107.75879	4346.55	1703.0
265	105.97704	3813.75423729	1676.0
364	92.27195	3313.0621118	1278.0
355	84.54699	2336.97191011	1152.0
220	80.10865	2835.38251366	1280.0
341	86.42823	2784.57534247	1147.0
272	69.42273	1834.14893617	910.0
226	103.80667	3826.72727273	1574.0
358	93.04628	2875.05128205	1333.0
346	100.13552	3262.13612565	1373.0
257	73.52109	2726.18644068	1227.0
233	78.59054	2711.01604278	1292.0
392	70.08158	1466.35849057	769.0
347	102.07056	3760.01333333	1593.0
264	73.98522	2367.09433962	1073.0
221	78.06864	2506.6875	1247.0
383	96.05625	2822.18644068	1248.0
223	81.91484	2470.73287671	1092.0
283	86.50585	2488.92307692	1141.0
213	50.8684	1082.11111111	660.0
255	81.94828	3059.57746479	1196.0
251	88.75729	2946.42073171	1252.0
325	105.74084	3625.85714286	1507.0
423	105.10205	3754.58196721	1658.0
245	105.06537	3142.17560976	1468.0
211	91.53401	2968.82352941	1340.0
246	97.51952	3040.34254144	1301.0
189	107.9962	3840.19047619	1520.0
343	102.82945	3100.46666667	1455.0
135	116.60405	3717.26739927	1761.0
205	88.18933	3268.24757282	1429.0
212	79.94704	2161.24657534	1027.0
147	101.40926	3216.06912442	1458.0
378	93.71524	3398.32835821	1461.0
266	106.9687	3907.22169811	1598.0
248	84.66912	2854.53030303	1328.0
384	90.59561	2931.88157895	1210.0
222	96.21067	3406.55721393	1478.0
254	88.96032	3404.84688995	1512.0
258	80.43383	2775.66298343	1265.0
348	90.91004	2962.03389831	1285.0
369	106.94612	3595.969163	1585.0
353	117.80101	4116.0418251	1801.0
218	91.02326	2791.24725275	1297.0
362	101.88908	3208.11165049	1440.0
396	76.80071	2478.41134752	1091.0
279	95.81634	3440.40088106	1570.0
324	93.08315	2877.23529412	1247.0
203	90.58072	3257.0	1494.0
382	100.69335	3431.14720812	1450.0
338	101.88365	3421.12562814	1451.0
276	89.30113	2897.0	1423.0
267	92.5414	3098.53370787	1312.0
198	96.04288	3684.05714286	1474.0
344	94.79326	3509.71428571	1464.0
354	84.72243	2834.79716981	1361.0
394	59.35632	1484.1	733.0
229	77.24504	2691.34868421	1177.0
215	82.32383	2622.14754098	1239.0
274	69.03103	2104.57894737	957.0
225	100.47044	3202.00469484	1492.0
139	101.46387	3225.57971014	1412.0
329	91.52266	2801.23684211	1319.0
349	89.40765	2846.76470588	1104.0
200	94.21905	3159.77027027	1457.0
