	PD_whole_tree	chao1	observed_otus
230	60.52739	1008.78899083	683.0
247	60.87045	926.051282051	685.0
207	48.72758	793.573170732	546.0
342	53.66236	740.957894737	523.0
333	60.48432	1121.34653465	715.0
265	60.75961	926.68	716.0
364	54.99487	974.114942529	596.0
355	51.44561	798.678571429	557.0
220	48.26489	809.523255814	564.0
341	55.79919	1046.16853933	629.0
272	45.45558	597.338235294	433.0
226	65.35409	1005.09615385	701.0
358	54.19633	890.6625	595.0
346	56.00806	848.725274725	584.0
257	45.53526	846.034883721	571.0
233	48.37457	749.225806452	576.0
392	53.4363	705.304347826	477.0
347	53.36739	904.008333333	661.0
264	44.37687	691.205128205	473.0
221	49.24812	761.06122449	572.0
383	56.76373	861.785714286	574.0
223	53.52291	801.879518072	545.0
283	55.23192	795.406976744	557.0
213	38.23836	489.416666667	368.0
255	53.93726	1012.60824742	641.0
251	53.69218	862.03030303	612.0
325	62.67565	1007.12931034	701.0
423	60.12026	1026.59663866	710.0
245	65.84557	953.727272727	693.0
211	58.03361	1036.76470588	686.0
246	61.30526	980.879120879	625.0
189	65.90626	1096.24299065	710.0
343	59.47669	933.454545455	670.0
135	63.52808	864.949579832	677.0
205	51.23048	841.416666667	606.0
212	50.90664	703.276315789	496.0
147	55.52825	804.696428571	605.0
378	53.7645	793.910447761	627.0
266	62.23068	951.462184874	692.0
248	52.79087	831.0	616.0
384	53.08933	810.448275862	563.0
222	58.01893	845.15	657.0
254	52.31583	817.849557522	647.0
258	47.23367	762.263157895	521.0
348	50.50502	726.717948718	570.0
369	60.04814	939.280373832	669.0
353	67.38972	1002.8	767.0
218	53.97708	807.102040816	602.0
362	60.11704	950.307692308	680.0
396	47.00659	761.12345679	530.0
279	53.98884	861.432692308	634.0
324	58.60597	877.639175258	599.0
203	56.84071	940.583333333	686.0
382	59.51073	896.049586777	661.0
338	61.95033	965.561403509	677.0
276	52.66406	773.529411765	584.0
267	51.11018	845.165048544	607.0
198	59.51848	1005.7029703	700.0
344	52.09566	867.676470588	625.0
354	47.03473	756.571428571	536.0
394	42.90628	603.641791045	409.0
229	46.69259	827.858974359	565.0
215	50.01767	786.101010101	579.0
274	44.31173	629.837837838	447.0
225	63.33986	956.05	723.0
139	57.26251	889.891089109	613.0
329	56.92977	886.761363636	608.0
349	54.09153	829.015384615	501.0
200	53.86598	993.120481928	633.0
239	48.83075	694.5	481.0
275	54.26934	819.835294118	569.0
381	50.62667	789.412844037	590.0
199	47.89779	766.010638298	575.0
235	53.24323	868.448275862	571.0
376	56.52123	812.649350649	549.0
240	48.05963	753.717647059	538.0
162	63.17123	982.754237288	675.0
234	32.3336	499.960784314	333.0
357	57.19388	917.401785714	674.0
379	51.4792	751.188118812	579.0
350	54.36767	838.581081081	516.0
438	51.87466	752.857142857	497.0
244	35.00462	441.071428571	285.0
326	57.79712	804.0	597.0
270	43.19379	758.988636364	526.0
101	53.54544	898.957746479	515.0
227	53.50912	826.918604651	579.0
377	44.14777	709.065934066	534.0
436	50.34181	799.865853659	498.0
217	50.31155	822.111111111	601.0
196	47.38435	694.6	561.0
252	45.5716	708.47826087	510.0
284	46.82373	750.0	482.0
356	50.26318	837.863636364	574.0
206	41.54092	632.109589041	433.0
197	36.02376	660.940298507	444.0
337	46.17774	742.488372093	518.0
256	58.64886	873.545454545	639.0
330	53.09537	838.78125	545.0
372	35.5706	629.225806452	411.0
214	53.77269	909.315217391	613.0
336	51.98704	920.074074074	545.0
366	66.51351	956.338345865	709.0
172	57.31853	870.47826087	619.0
138	49.86987	728.842105263	467.0
250	49.16825	770.0	581.0
163	59.38236	957.75	634.0
375	47.41012	858.325	532.0
370	46.64184	758.517241379	499.0
374	36.29631	544.405797101	391.0
340	45.68245	697.0	508.0
216	53.62002	906.078947368	609.0
154	55.58009	859.763358779	639.0
219	53.43407	902.158878505	643.0
334	41.58893	631.393939394	488.0
367	43.08469	759.763888889	475.0
100	45.53262	801.873563218	530.0
180	60.14064	853.936170213	616.0
136	56.25014	781.344827586	541.0
253	51.79185	758.010869565	577.0
371	54.84309	1033.32941176	628.0
152	55.31663	849.0	530.0
156	57.81533	925.113636364	610.0
121	55.02771	835.631578947	556.0
335	44.81422	710.243243243	452.0
127	62.05983	1026.82524272	669.0
145	64.74566	936.146788991	646.0
107	59.10224	955.8	624.0
111	51.84728	788.282828283	536.0
361	36.14795	615.8125	394.0
331	32.91856	652.081081081	346.0
236	29.22633	512.319148936	317.0
191	40.3066	630.642857143	423.0
435	33.35823	603.0	366.0
153	61.60409	1045.5	642.0
155	40.45477	646.4	446.0
282	53.9914	915.725274725	611.0
365	45.62998	703.388888889	467.0
148	55.70955	898.012987013	547.0
157	56.19208	908.965517241	571.0
123	57.76012	855.263157895	590.0
151	50.08891	719.808219178	466.0
117	48.79291	713.428571429	528.0
99	53.66525	696.170454545	509.0
161	60.43163	890.038167939	660.0
150	56.91275	875.259259259	625.0
332	38.29617	567.0	396.0
132	47.39386	658.151898734	472.0
177	39.56453	589.35443038	416.0
389	39.03289	644.015384615	385.0
149	43.71926	630.28	441.0
597	54.76153	894.644230769	648.0
861	34.3352	648.6	517.0
864	34.82777	664.363636364	525.0
599	47.58626	845.129032258	557.0
811	51.36997	943.815533981	670.0
771	51.48285	884.647058824	533.0
875	41.69313	738.588235294	491.0
783	51.99357	776.282828283	563.0
859	60.17962	1037.62385321	697.0
858	51.94409	801.900990099	572.0
876	51.77567	858.701149425	556.0
848	62.64976	1003.02586207	715.0
852	49.07496	781.121212121	540.0
773	63.91947	977.007407407	710.0
839	52.16565	926.330434783	660.0
822	56.14777	1056.12621359	685.0
832	57.56341	1011.56637168	683.0
819	66.6484	1113.41732283	788.0
816	66.71067	1021.46853147	775.0
728	55.15824	987.5	641.0
841	49.82783	902.5	595.0
775	45.34726	769.740740741	491.0
756	51.85795	756.105263158	557.0
843	63.84225	996.6875	682.0
867	58.16632	965.24137931	724.0
851	65.49845	1009.02307692	744.0
784	41.87876	653.75	454.0
873	46.62202	894.733333333	597.0
804	50.96873	820.975609756	605.0
821	44.22837	747.028571429	542.0
779	61.21717	997.900826446	700.0
836	54.51027	906.315789474	620.0
754	56.40122	979.165137615	646.0
826	57.94324	1052.5	695.0
716	56.47446	821.795918367	600.0
751	56.91294	843.5	602.0
818	66.93115	1058.17692308	762.0
758	56.57851	884.783505155	618.0
838	49.57318	782.029126214	581.0
883	62.72601	953.698529412	723.0
778	46.83397	775.578947368	522.0
834	64.90433	1144.08333333	712.0
849	54.37512	787.613636364	550.0
815	64.10225	1078.11570248	746.0
817	65.96434	1007.90909091	721.0
794	64.32769	987.022900763	730.0
777	61.1929	1037.06896552	717.0
820	67.64745	1237.94366197	851.0
807	56.78608	867.0	615.0
882	60.51215	1058.27678571	702.0
786	67.22544	987.157894737	734.0
829	52.38522	952.930232558	663.0
801	62.47554	1090.88372093	757.0
814	70.39583	1143.65555556	881.0
857	36.78742	664.611111111	532.0
798	60.67819	1019.57894737	711.0
879	42.28386	786.333333333	532.0
785	39.41287	513.571428571	317.0
791	47.15029	776.972222222	589.0
598	46.40573	851.174418605	596.0
782	45.64235	638.246153846	457.0
793	51.40107	803.894736842	548.0
833	57.47901	1064.94117647	682.0
787	42.8357	772.461538462	507.0
844	36.20192	748.942857143	487.0
845	38.61154	657.011904762	492.0
808	55.62672	914.942028986	714.0
878	43.49589	788.965517241	527.0
1283	59.7393	1054.32142857	755.0
717	46.49221	697.0	477.0
770	59.06717	1063.45	711.0
718	41.50739	500.0	375.0
726	60.61088	1062.37383178	728.0
752	50.83794	936.012345679	567.0
780	55.39055	898.439393939	672.0
828	60.56717	1047.60305344	743.0
755	54.50632	862.395604396	573.0
733	48.21463	725.511363636	530.0
835	61.10406	952.745901639	681.0
837	40.27104	771.148148148	513.0
727	55.30797	919.0	666.0
868	39.24413	572.655172414	439.0
831	54.72054	996.155172414	669.0
781	38.45407	630.766233766	442.0
750	40.83832	697.493670886	489.0
596	48.05807	841.93902439	564.0
830	45.97552	854.910891089	585.0
862	37.19196	701.034090909	530.0
869	45.40135	831.85046729	590.0
842	46.88096	855.296296296	533.0
732	21.55657	309.088235294	209.0
863	30.1125	598.337349398	417.0
860	54.75656	887.798245614	632.0
850	47.03594	895.168316832	572.0
3249	56.56068	1032.68939394	741.0
3293	44.97644	852.128205128	629.0
3022	69.06922	1146.44852941	792.0
3247	70.97506	1188.67549669	840.0
3269	70.09885	1136.39156627	846.0
3296	64.18904	1118.34579439	724.0
3015	63.23524	1104.84615385	769.0
3399	42.17804	745.1	566.0
3026	52.82736	1010.59433962	668.0
3398	42.9967	756.0	553.0
3030	42.55267	809.212121212	579.0
3039	49.95474	910.889830508	645.0
3264	60.80754	1045.89552239	746.0
3274	62.39073	1056.94615385	750.0
3248	61.56632	990.764150943	678.0
3044	62.59877	1017.16101695	679.0
3018	65.09257	1285.5483871	807.0
3014	66.98234	1163.90066225	828.0
3200	67.42954	1167.72093023	777.0
3028	45.03197	934.924528302	627.0
3272	44.10871	831.581632653	588.0
3292	44.17529	852.67961165	597.0
3109	64.20024	1057.63909774	736.0
3040	22.08428	405.0	314.0
3185	52.34916	867.132743363	630.0
3202	52.55288	930.12295082	675.0
3024	31.61858	609.820895522	454.0
3108	43.88671	886.014285714	545.0
3143	74.02505	1163.81632653	838.0
3257	49.15412	792.021276596	545.0
3027	49.98401	975.742857143	635.0
3298	53.83014	967.972222222	661.0
3126	63.48392	1085.40740741	762.0
3144	69.13258	1334.43165468	910.0
3276	37.72416	765.2	568.0
3391	64.26249	1195.57232704	850.0
3203	52.69539	975.233870968	691.0
3280	65.4676	1234.37254902	886.0
3016	72.16468	1276.14583333	906.0
